NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
CEDEVITA LIMUN 455g,90571965,CEDEVITA,0.46 kg,ko,5.49,12.07,,,5.29,3850322014905,PIĆE
KRUH FETA 500g BABIĆ,90571983,BABIĆ,0.50 kg,ko,2.35,4.7,,,2.25,3858892791653,HRANA
ČETKICA OB ALLROUND BLACK 3KOM,90572069,ORAL B,1.00 ko,ko,4.49,4.49,,,4.49,3014260101503,KOZMETIKA
LEDENI ČAJ FUZETEA BRESKVA RUŽA 0.5L,90572199,FUZETEA,0.50 l,ko,1.55,3.1,,,1.55,5449000270139,PIĆE
MLIJEKO TIJ LACTOV LACTOUR 400ml,90572424,LACTOVIT,0.40 l,ko,7.59,18.98,,,6.89,8410190585997,KOZMETIKA
DŽEM ŠIPAK 360g PODRAVKA,90572865,PODRAVKA,0.36 kg,ko,3.09,8.58,,,2.29,3856020252212,HRANA
PIVO KARLOVAČKO 0.5L  LIM 6 PAK,90573287,KARLOVAČKO,3.00 l,ko,9.99,3.33,,,9.59,3850103902360,PIĆE
VL MARAMICE LUMPI AQUA 72/1,90573292,LUMPI,72.05 ko,ko,1.89,0.03,,,1.89,3850334523303,TOALETNE POTREPŠTINE
PIRE VOĆ. JAB.BOROV. 200g NUTRINO LAB ,90573494,NUTRINO LAB,0.20 kg,ko,2.75,13.75,,,2.75,8606019652968,HRANA
PIRE VOĆ JAB.BRES. 200g NUTRINO LAB ,90573500,NUTRINO LAB,0.20 kg,ko,2.75,13.75,,,2.75,8606019652951,HRANA
VREĆICA JUMBO KONZUM,90573536,K PLUS,1.00 ko,ko,0.25,0.25,,,0.25,3850334524218,PROIZVODI ZA KUĆANSTVO
SIR TVRDI RIBANAC 100g PRESIDENT,90573619,PRESIDENT,0.10 kg,ko,4.09,40.9,,,4.09,3850355007622,HRANA
MLIJEKO TRAJNO 2.8% 1L DUKAT,90573683,DUKAT,1.00 l,ko,1.02,1.02,,,1.02,3850354016830,HRANA
SIR TOPLJ LISTIĆI GOUDA 150g DUKAT,90573707,PRESIDENT,0.15 kg,ko,2.49,16.6,,,2.25,3228022210048,HRANA
SIR POLUTV DOMAĆI 300g PRESIDENT,90573737,PRESIDENT,0.30 kg,ko,7.49,24.97,,,6.89,3850355007202,HRANA
SIR POLUTV DOM DIMLJ 300g PRESIDENT,90573740,PRESIDENT,0.30 kg,ko,7.49,24.97,,,6.89,3850355007226,HRANA
