Naziv proizvoda;Šifra proizvoda;Marka proizvoda;Neto kolièina;Jedinica mjere;Maloprodajna cijena;Cijena za jedinicu mjere;Barkod;Kategorija;Najniža cijena u posljednjih 30 dana;MPC za vrijeme posebnog oblika prodaje
VREÆICE ZA DOM.4L RAK 25KOM             ;119157    ;RAK D.O.O.;       25.00;KOM;        0.64;        0.03;'3859888452084';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 500X600 RAK 20/1 40L     ;119207    ;RAK D.O.O.;       20.00;KOM;        0.76;        0.04;'3859888452404';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.1kg 50/1V-PROMET         ;143174    ;V-PROMET d.o.o. ZAGREB;       50.00;KOM;        0.59;        0.01;'3859890792093';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.2kg 50/1V-PROMET         ;143175    ;V-PROMET d.o.o. ZAGREB;       50.00;KOM;        0.79;        0.02;'3859890792109';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.3kg 50/1V-PROMET         ;143176    ;V-PROMET d.o.o. ZAGREB;       50.00;KOM;        1.09;        0.02;'3859890792116';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.4kg 50/1V-PROMET         ;143177    ;V-PROMET d.o.o. ZAGREB;       50.00;KOM;        1.29;        0.03;'3859890792123';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.5kg 50/1V-PROMET         ;143178    ;V-PROMET d.o.o. ZAGREB;       50.00;KOM;        1.69;        0.03;'3859890792130';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 800*1200/10 RAK          ;25556     ;RAK D.O.O.;       10.00;KOM;        2.12;        0.21;'3859888452121';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.6L RAK 25/1              ;274821    ;RAK D.O.O.;       25.00;KOM;        0.99;        0.04;'3859888452091';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.3L RAK 25/1              ;28939     ;RAK D.O.O.;       25.00;KOM;        0.59;        0.02;'3859888452060';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.2L RAK 25KOM             ;28940     ;RAK D.O.O.;       25.00;KOM;        0.39;        0.02;'3859888452022';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.5L RAK 25/1              ;29156     ;RAK D.O.O.;       25.00;KOM;        0.79;        0.03;'3859888452015';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.1L RAK 25/1              ;29157     ;RAK D.O.O.;       25.00;KOM;        0.34;        0.01;'3859888452053';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 700X1100 HD 10/1 RAK     ;29771     ;RAK D.O.O.;       10.00;KOM;        1.19;        0.12;'3859888452428';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 500X1000 RAK             ;29772     ;RAK D.O.O.;        1.00;KOM;        0.80;        0.80;'3859888452411';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 530*640 15/1 S VEZ(40L)  ;360721    ;RAK D.O.O.;        0.00;   ;        1.19;        0.00;'3859888452268';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA DOM.8L RAK 15/1              ;403412    ;RAK D.O.O.;       25.00;KOM;        0.79;        0.03;'3859888452497';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 20/1 50X65 ROLA TRGOMIX  ;406567    ;TRGOMIX d.o.o.SPLIT;        0.00;   ;        0.80;        0.00;'3859890120032';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 15/1 53X64 VRPCA TRGOMIX ;406568    ;TRGOMIX d.o.o.SPLIT;        0.00;   ;        1.33;        0.00;'3859890120117';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 10/1 70X110 LD TRGOMIX   ;406572    ;TRGOMIX d.o.o.SPLIT;        0.00;   ;        0.00;        0.00;'3859890120131';PROIZVODI ZA KUÆANSTVO;        1.33;        1.19
VREÆE ZA SMEÆE 60/10 ALP 56*96          ;441466    ;ALU PACK PLASTIC D.O.O.;        0.00;   ;        0.80;        0.00;'3856004912606';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 700*1100 HD 20/1         ;449440    ;RAK D.O.O.;       20.00;KOM;        1.99;        0.10;'3859888452541';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 550*650 HD 20/1          ;449441    ;RAK D.O.O.;       20.00;KOM;        0.86;        0.04;'3859888452534';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VEÆA TREGER VREÆICA MESNICA RIBARNICA   ;520312    ;RAK D.O.O.;        0.00;   ;        0.02;        0.00;'3859888452107';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE MIRIS VEZICA 55X65       ;534074    ;TRGOMIX d.o.o.SPLIT;        0.00;   ;        1.19;        0.00;'3858888962500';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 10/1 /80X120             ;545566    ;TRGOMIX d.o.o.SPLIT;        0.00;   ;        2.12;        0.00;'3858888961732';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA OTPATKE 100X150 5/1 300L     ;556784    ;TRGOMIX d.o.o.SPLIT;        5.00;KOM;        2.99;        0.60;'3859890120148';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA LED U KOCKICAMA 240/1        ;557864    ;FILIR D.O.O.;      240.00;KOM;        1.09;        0.00;'5201314981022';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE POJAÈANE 120L 10/1 FINO  ;557867    ;FILIR D.O.O.;        0.00;   ;        3.99;        0.00;'5201314932024';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 60L 20/1                 ;571210    ;FILIR D.O.O.;        0.00;   ;        2.92;        0.00;'5201314931126';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE 52X60 25/1 TREGER RUÈKA PEHD    ;588233    ;TRGOMIX d.o.o.SPLIT;       25.00;KOM;        1.33;        0.05;'3858888965938';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE 60X72 15/1 PEHD TREGER RUÈKA    ;588234    ;TRGOMIX d.o.o.SPLIT;       15.00;KOM;        0.00;        0.07;'3858888965952';PROIZVODI ZA KUÆANSTVO;        1.33;        1.09
VREÆE ZA SMEÆE 64X70 15/1 VEZICA PEHD   ;601272    ;TRGOMIX d.o.o.SPLIT;       15.00;KOM;        1.46;        0.10;'3858888965044';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE ZA ZAMRZIVAÈ 10L 25/1 PELD      ;601273    ;TRGOMIX d.o.o.SPLIT;       25.00;KOM;        1.33;        0.05;'3858888966492';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICA TREGER R65 51MIC                ;613305    ;RAK D.O.O.;        0.00;   ;        0.24;        0.00;'3859888452787';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆICE FLEXO RUÈKA LD50 51 MIC         ;613306    ;RAK D.O.O.;        0.00;   ;        0.32;        0.00;'3859888452114';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE LD 90L POWER 10/1        ;627707    ;FILIR D.O.O.;       10.00;KOM;        2.99;        0.30;'5201314932031';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 64X70cm 60L 15/1 ALUFIX  ;628104    ;FIBIS D.O.O.;       15.00;KOM;        3.09;        0.21;'4823071655087';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE S RUÈKOM ALUFIX 35L      ;635231    ;FIBIS D.O.O.;        0.00;   ;        2.19;        0.00;'4823071655124';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE TITANIUM 35L 15/1        ;642406    ;FILIR D.O.O.;       15.00;KOM;        2.99;        0.20;'5201314154303';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE FLEX 60L 10/1            ;643558    ;FILIR D.O.O.;       10.00;KOM;        2.99;        0.30;'5201314154327';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
FINO TERMO VREÆICA  13343               ;645929    ;FILIR D.O.O.;        0.00;   ;        2.29;        0.00;'5201314183426';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
MANJA TREGER VREÆICA U ROLI VOÆE        ;651269    ;TRGOMIX d.o.o.SPLIT;        0.00;   ;        0.01;        0.00;'3858888968397';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VEÆA TREGER VREÆICA NA STALKU VOÆE      ;651272    ;RAK D.O.O.;        0.00;   ;        0.02;        0.00;'3859888452800';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
MANJA TREGER VREÆICA MESNICA RIBARNICA  ;651476    ;TRGOMIX d.o.o.SPLIT;        0.00;   ;        0.01;        0.00;'3858888968458';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
TORBA ZA KUPOVINU HEDONA KTC            ;654059    ;HEDONA D.O.O.;        0.00;   ;        6.99;        0.00;'3859891201358';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE 1000X1300 LD 5/1         ;656250    ;RAK D.O.O.;        0.00;   ;        2.13;        0.00;'';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VREÆE ZA SMEÆE  S RUÈKAMA 10L 50/1 FINO ;658665    ;FILIR D.O.O.;       50.00;KOM;        1.49;        0.03;'5201314198017';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
DRESSING VREÆICA 35cm                   ;690024    ;EZERKA OPREMA D.O.O.;        0.00;   ;        2.19;        0.00;'8592381084691';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
DRESING VREÆICE 21X34                   ;690025    ;EZERKA OPREMA D.O.O.;        0.00;   ;        1.86;        0.00;'8592381087890';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
DRESSING SET 12/1                       ;690026    ;EZERKA OPREMA D.O.O.;        0.00;   ;        1.99;        0.00;'8592381121648';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽ.KRPA VILEDA 3/1                    ;01690     ;AWTINTERNATIONAL D.O.O. ZAGREB;        3.00;KOM;        3.85;        1.28;'3838447000072';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽVA VELIKA                ;01740     ;REKORD TIM d.o.o. ORIOVAC;        0.00;KOM;        0.99;        0.00;'3859888122024';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽVA MALA                  ;01757     ;REKORD TIM d.o.o. ORIOVAC;        0.00;KOM;        0.69;        0.00;'3859888122017';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
REKORD SPUŽVA 10/1 10113                ;05577     ;REKORD TIM d.o.o. ORIOVAC;       10.00;KOM;        1.39;        0.14;'3859888122062';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽ.KRPA 3/1 10133          ;05931     ;REKORD TIM d.o.o. ORIOVAC;        3.00;KOM;        2.25;        0.75;'3859888122154';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽ.KRPA 2/1 10132          ;05933     ;REKORD TIM d.o.o. ORIOVAC;        2.00;KOM;        1.69;        0.85;'3859888122147';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
REKORD MAGIC INOX ŽICA 2/1              ;06431     ;REKORD TIM d.o.o. ORIOVAC;        2.00;KOM;        1.59;        0.80;'3859888122512';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽVA 2/1 10103             ;06612     ;REKORD TIM d.o.o. ORIOVAC;        2.00;KOM;        1.29;        0.65;'3859888122031';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
KRPA ZA POD 80*50 MARINA 10153          ;06677     ;REKORD TIM d.o.o. ORIOVAC;        0.00;KOM;        2.09;        0.00;'3859888122192';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
BRAVO SPUŽVA S ABRAZIVOM 3/1            ;141603    ;REKORD TIM d.o.o. ORIOVAC;        3.00;KOM;        0.99;        0.33;'3858882681681';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVASTA KRPA BRAVO 3/1                ;141604    ;REKORD TIM d.o.o. ORIOVAC;        3.00;KOM;        1.29;        0.43;'3858882681698';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
BRAVO SPUŽVA S ABRAZIVOM 1/1            ;141605    ;REKORD TIM d.o.o. ORIOVAC;        1.00;KOM;        0.35;        0.35;'3858882681667';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
BRAVO PAMUÈNA KRPA ZA POD 50*60         ;141606    ;REKORD TIM d.o.o. ORIOVAC;        0.00;KOM;        1.29;        0.00;'3858882681704';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
BRAVO SPUŽVA S ABRAZIVOM 2/1            ;141607    ;REKORD TIM d.o.o. ORIOVAC;        2.00;KOM;        0.69;        0.35;'3858882681674';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
BRAVO VIŠENAMJENSKA KRPA 5/1            ;141848    ;REKORD TIM d.o.o. ORIOVAC;        5.00;KOM;        1.29;        0.26;'3858882681889';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
KRPA MIKRO 30*30 3/1                    ;163614    ;ROX d.o.o. ZAGREB;        3.00;KOM;        3.32;        1.11;'3858885021781';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
BRAVO SPUŽVA SA ABRAZIVOM 6/1           ;197247    ;REKORD TIM d.o.o. ORIOVAC;        6.00;KOM;        1.69;        0.28;'3858882682831';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
REKORD ÈELIÈNA ŽICA 18g 2/1             ;254192    ;REKORD TIM d.o.o. ORIOVAC;        2.00;KOM;        1.39;        0.70;'3859888122406';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA MULTICOLOR SOFT&STRONG 2+1       ;264449    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.19;        0.00;'3858882683227';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
TIP TOP 3/1 ABRAZIV.SPUŽVA              ;274437    ;AWTINTERNATIONAL D.O.O. ZAGREB;        3.00;KOM;        2.52;        0.84;'4003790023996';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA MULTICOLOR REKORD 2/1            ;322196    ;REKORD TIM d.o.o. ORIOVAC;        2.00;KOM;        1.25;        0.63;'3858882683456';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA ÈISTAÈ KUPAONICE REKORD 1/1      ;322197    ;REKORD TIM d.o.o. ORIOVAC;        1.00;KOM;        1.19;        1.19;'3858882683449';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
KRPA ZA POD 50*60cm                     ;322632    ;VIKRIDAN D.O.O.;        1.00;KOM;        1.19;        1.19;'4250430811004';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
MAGIÈNA KRPA ZA POD 50*60cm             ;338282    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        3.45;        0.00;'3858882683814';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
INOX ŽICA 1/1 BRAVO                     ;359500    ;REKORD TIM d.o.o. ORIOVAC;        1.00;KOM;        0.65;        0.65;'3858882683845';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
PURACTIVE ZA ISPIRANJE 2/1              ;364333    ;AWTINTERNATIONAL D.O.O. ZAGREB;        2.00;KOM;        3.05;        1.53;'4023103083943';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
DUOCLEAN KUHINJSKI ÈISTAÈ               ;364460    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.49;        0.00;'3858882683883';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽVA ERGOMAX GOLD          ;387989    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.19;        0.00;'3858882684026';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA STANDARD 1/1                     ;416298    ;ÈULJAK D.O.O.;        0.00;   ;        0.29;        0.00;'3856007701801';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA STANDARD 2/1                     ;416299    ;ÈULJAK D.O.O.;        0.00;   ;        0.59;        0.00;'3856007700132';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA STANDARD 3/1                     ;416354    ;ÈULJAK D.O.O.;        0.00;   ;        0.89;        0.00;'3856007700149';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA KLASIK MINI 10/1                 ;416355    ;ÈULJAK D.O.O.;       10.00;KOM;        0.69;        0.07;'3856007701535';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
KRPA ZA POD 50X60cm                     ;416358    ;ÈULJAK D.O.O.;        0.00;   ;        0.99;        0.00;'3856007701290';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVICA GLITZI POWER INOX 2/1          ;416962    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.00;   ;        3.98;        0.00;'4023103172036';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA POLLY FLEX MEDIUM 6/1            ;424020    ;REKORD TIM d.o.o. ORIOVAC;        6.00;KOM;        1.99;        0.33;'3858882683869';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
INOX JASTUÈIÆI POWERMAX                 ;427320    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.59;        0.00;'3858882684170';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA ZA SUÐE 10/1                     ;432286    ;VIKRIDAN D.O.O.;       10.00;KOM;        2.39;        0.24;'3859892050856';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽVA MEDIUM 4/1 SOS DJ.SELO;441554    ;REKORD TIM d.o.o. ORIOVAC;        4.00;KOM;        1.79;        0.45;'3858882680523';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽ.KRPA 4/1 SOS DJ.SELO    ;441555    ;REKORD TIM d.o.o. ORIOVAC;        4.00;KOM;        2.79;        0.70;'3858882682732';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
TRENDY SPUŽVASTA KRPA 3/1               ;513495    ;REKORD TIM d.o.o. ORIOVAC;        3.00;KOM;        2.39;        0.80;'3858882681438';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
PURACTIVE ÈISTAÈ POSUÐA 2/1 4700017     ;517158    ;AWTINTERNATIONAL D.O.O. ZAGREB;        2.00;KOM;        3.85;        1.93;'4023103070240';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
MAGIÈNA KRPA 4/1 REKORD                 ;519692    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        4.49;        0.00;'3858882681391';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA ZA SUÐE ACTIVE SHINE             ;521048    ;ALU PACK PLASTIC D.O.O.;        0.00;   ;        0.46;        0.00;'3856004940012';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA ZA SUÐE 3/1 ACTIVE SHINE         ;521050    ;ALU PACK PLASTIC D.O.O.;        0.00;   ;        1.06;        0.00;'3856004940036';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA ZA SUÐE 10/1 MULTICLEAN 10/1     ;521051    ;ALU PACK PLASTIC D.O.O.;       10.00;KOM;        0.00;        0.13;'3856004940050';PROIZVODI ZA KUÆANSTVO;        1.45;        1.29
SPUŽVASTA KRPA 3/1 HYDRA                ;521053    ;ALU PACK PLASTIC D.O.O.;        0.00;   ;        1.33;        0.00;'3856004940524';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVASTA KRPA 5/1 HYDRA                ;521054    ;ALU PACK PLASTIC D.O.O.;        5.00;KOM;        1.72;        0.34;'3856004940517';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
KRPA ZA POD COLORS                      ;533830    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.00;   ;        4.91;        0.00;'4023103196506';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
ŽICA ÈELIÈNA REKORD 3/1                 ;536690    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.59;        0.00;'3858882680752';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVASTA KRPA 5/1 23105                ;543541    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.00;   ;        5.31;        0.00;'3838447000133';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
ABRAZIVNA SPUŽVA GLITZI CRYST 3/1       ;543881    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.00;   ;        3.71;        0.00;'3838447000331';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
ABRAZIVNA SPUŽVA GLITZI CRYSTAL 1/1     ;544795    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;KOM;        1.59;        1.59;'3838447000294';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVASTA KRPA 8+2 23118                ;548570    ;AWTINTERNATIONAL D.O.O. ZAGREB;       10.00;KOM;        9.02;        0.90;'3838447000195';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA KUHINJSKA 5+1 FINO               ;557873    ;FILIR D.O.O.;        6.00;KOM;        1.99;        0.33;'5900536279121';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
ŽICA ZA POSUÐE S DRŠKOM 1/1 FINO        ;557876    ;FILIR D.O.O.;        0.00;   ;        2.39;        0.00;'5201314040675';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
ŽICA ZA METALNE POVRŠINE 2/1 FINO       ;557879    ;FILIR D.O.O.;        2.00;KOM;        1.59;        0.80;'5201314911173';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
KRPA ZA DOMAÆINSTVO 3/1 FINO            ;557881    ;FILIR D.O.O.;        3.00;KOM;        1.59;        0.53;'5201314913023';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
VLAŽNE KRPE 3+1                         ;571211    ;FILIR D.O.O.;        0.00;   ;        3.05;        0.00;'8606013475440';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
ABRAZ.ANTIBAKT.SPUŽVA ULTRA FRESCH 2/1* ;572952    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.00;   ;        3.18;        0.00;'4023103200982';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVASTA KRPA 3/1 PEREX                ;576352    ;VM2 d.o.o.ZAGREB;        3.00;KOM;        1.99;        0.66;'3872292000023';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVASTA KRPA 5/1 PEREX                ;576353    ;VM2 d.o.o.ZAGREB;        5.00;KOM;        3.45;        0.69;'3872292000030';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA SA ABRAZIVOM 1/1 PEREX           ;576354    ;VM2 d.o.o.ZAGREB;        0.00;   ;        0.66;        0.00;'3872292000047';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA SA ABRAZIVOM 1/1 RINF PEREX      ;576355    ;VM2 d.o.o.ZAGREB;        0.00;   ;        0.46;        0.00;'3872292000498';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA SA ABRAZIVOM 3/1 PEREX           ;576356    ;VM2 d.o.o.ZAGREB;        3.00;KOM;        1.72;        0.57;'3872292000054';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
MARATON SPUŽVA ZA KUP.I MAS.10121       ;58309     ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.59;        0.00;'3859888122093';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
MASER SPUŽVA S VEZICOM                  ;58310     ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.69;        0.00;'3859888122437';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
AUTO SPUŽVA JUMBO ZA AUTO               ;58311     ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        2.09;        0.00;'3858882680479';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
REKORD MAGIÈNA KRPA 40X30               ;58322     ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.69;        0.00;'3858882680615';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽVA 5/1 10149             ;58328     ;REKORD TIM d.o.o. ORIOVAC;        5.00;KOM;        2.19;        0.44;'3858882680349';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽVA 3/1 10104             ;58331     ;REKORD TIM d.o.o. ORIOVAC;        3.00;KOM;        1.89;        0.63;'3859888122314';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
ÈELIÈNA ŽICA 30g 10229                  ;58491     ;REKORD TIM d.o.o. ORIOVAC;        0.03;kg ;        1.06;       35.33;'3859888122451';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
REKORD MAXI 5/1                         ;58856     ;REKORD TIM d.o.o. ORIOVAC;        5.00;KOM;        1.49;        0.30;'3858882680035';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
POLLY-FLEX SPUŽ.KRPA 5/1 10135          ;58857     ;REKORD TIM d.o.o. ORIOVAC;        5.00;KOM;        3.59;        0.72;'3859888122444';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
INOX ŽICA 2+1g                          ;592400    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        1.19;        0.00;'3858882680165';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
INOX SPIRALA ZA RIBANJE 2/1 VILEDA      ;601324    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.00;   ;        3.05;        0.00;'4023103210370';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
FINO SPUŽVA KUHINJ.PROFILNA PREMIUM 1/1 ;607899    ;FILIR D.O.O.;        0.00;   ;        0.99;        0.00;'8606013476850';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
KRPA ZA STAKLO 40X40 CRYSTAL PREMIUM    ;610145    ;REKORD TIM d.o.o. ORIOVAC;        0.00;   ;        4.69;        0.00;'3858882683760';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA PJENASTA ABRAZIVNA 4/1           ;610813    ;VM2 d.o.o.ZAGREB;        0.00;   ;        1.86;        0.00;'3872292011371';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
SPUŽVA ZA INOX I TEFLON PEREX           ;611295    ;VM2 d.o.o.ZAGREB;        0.00;   ;        1.19;        0.00;'3872292000085';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
PEREX ŽICA ZA POSUÐE 1/1                ;613027    ;VM2 d.o.o.ZAGREB;        0.00;   ;        0.93;        0.00;'3872292001860';PROIZVODI ZA KUÆANSTVO;        0.00;        0.00
