"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"KREMA LIFTING/ANTIAGE 50ml";"011040101";"FIOR DI MAGNOLIA";"0,05";"LT";"3,59";"71,8";"0";"0";"0";"3,59";"8017596057853";"KOZMETIKA"
"KREMA LJEŠNJAK I GRISINI 2 kom 110g";"017365801";"DOLCIANDO";"0,11";"KG";"1,59";"14,45";"0";"0";"0";"1,59";"8017596126825";"HRANA"
"KREMA SOFT TIJELO I RUKE V.V.300ml";"017640501";"FIOR DI MAGNOLIA";"0,3";"LT";"1,85";"6,17";"0";"0";"0";"1,85";"8017596130303";"KOZMETIKA"
"KREMA SOFT TIJELO I RUKE V.V.300ml";"017640501";"FIOR DI MAGNOLIA";"0,3";"LT";"1,85";"6,17";"0";"0";"0";"1,85";"8017596130297";"KOZMETIKA"
"KREMA ZA DJECU CINK OKSID BIO 100ml";"016982301";"HELLO BABY";"0,1";"LT";"2,49";"24,9";"0";"0";"0";"2,49";"8017596079305";"KOZMETIKA"
"KREMA ZA DJECU HIDRATANTNA ECO100ml";"016982401";"HELLO BABY";"0,1";"LT";"2,49";"24,9";"0";"0";"0";"2,49";"8017596079299";"KOZMETIKA"
"KREMA ZA LICE BIO ECO 50ml";"014319501";"AMO ESSERE ECO";"0,05";"LT";"2,59";"51,8";"0";"0";"0";"2,59";"8017596077806";"KOZMETIKA"
"KREMA ZA LICE HIDRAT/HRANJIV 50ml";"011040001";"FIOR DI MAGNOLIA";"0,05";"LT";"2,65";"53";"0";"0";"0";"2,65";"8017596057884";"KOZMETIKA"
"KREMA ZA LICE HIDRAT/HRANJIV 50ml";"011040001";"FIOR DI MAGNOLIA";"0,05";"LT";"2,65";"53";"0";"0";"0";"2,65";"8017596057877";"KOZMETIKA"
"KREMA ZA RAVNU/KOVRCAVU KOSU 200ml";"016407201";"COLOR LOOK";"0,2";"LT";"2,99";"14,95";"0";"0";"0";"2,65";"8017596115522";"KOZMETIKA"
"KREMA ZA RAVNU/KOVRCAVU KOSU 200ml";"016407201";"COLOR LOOK";"0,2";"LT";"2,99";"14,95";"0";"0";"0";"2,65";"8017596115539";"KOZMETIKA"
"KREMA ZA RUKE BIO 100ml";"014302901";"AMO ESSERE ECO";"0,1";"LT";"1,79";"17,9";"0";"0";"0";"1,79";"8017596077813";"KOZMETIKA"
"KREMA ZA RUKE BRZO UPIJANJE 125ml";"012486801";"FIOR DI MAGNOLIA";"0,125";"LT";"1,39";"11,12";"0";"0";"0";"1,39";"8017596067548";"KOZMETIKA"
"KREMA ZA RUKE SUHA KOŽA 100ml";"012664801";"FIOR DI MAGNOLIA";"0,1";"LT";"1,49";"14,9";"0";"0";"0";"1,49";"8017596067654";"KOZMETIKA"
"KREMA ZA STOPALA UREA 10% 100ml";"017600401";"LA NUOVA PHARMACIA";"0,1";"LT";"1,39";"13,9";"0";"0";"0";"1,39";"24102414";"KOZMETIKA"
"KREMA ZA TIJELO HIDRAT/HRANJ 400ml";"018600001";"FIOR DI MAGNOLIA";"0,4";"LT";"2,39";"5,98";"0";"0";"0";"2,39";"8017596138774";"KOZMETIKA"
"KREMA ZA TIJELO HIDRAT/HRANJ 400ml";"018600001";"FIOR DI MAGNOLIA";"0,4";"LT";"2,39";"5,98";"0";"0";"0";"2,39";"8017596138781";"KOZMETIKA"
