naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
MASLINE CRNE ZVIJEZDA 700 g;46467;Zvijezda;0,4000;kg;4,69;11,73;;;4,69;3858882213707;Hrana
MAS.ZEL.ZVIJEZDA S PAPRI.700 g;46472;Zvijezda;0,4000;kg;4,69;11,73;;;4,69;3858882213783;Hrana
MAS. ZEL.ZVIJEZDA S PAP.350 g;46473;Zvijezda;0,2000;kg;3,79;18,95;;;3,79;3858882213790;Hrana
MASLINE ZEL.BK ZVIJEZDA 350 g;46475;Zvijezda;0,1650;kg;2,89;17,52;;;2,89;3858882213769;Hrana
OCAT ACETO BAL.ZVIJEZDA 500 g;46476;Zvijezda;0,5000;kg;3,59;7,18;;;3,59;3858882214063;Hrana
PRALINE LINDT LIND.BALLS 200 g;46516;Lindt;0,2000;kg;;32,45;6,49;8,97;6,98;8003340090276;Hrana
KAVA FR.JUB.MLJ.VAKUM 2x250 g;46562;Franck;0,5000;kg;10,75;21,50;;;10,75;3858881080072;Piæa
MARMELADA SPAR BRUSNICA 450 g;46627;SPAR;0,4500;kg;2,79;6,20;;;2,79;9100000967981;Hrana
NADJEV JABUKA S-BUDGET 700 g;46630;S-Budget;0,7000;kg;1,59;2,27;;;1,59;9100000810577;Hrana
ÈAJ FRANCK TREŠNJA K.OMOT 55 g;46672;Franck;0,0550;kg;2,29;41,64;;;2,29;3858881083790;Piæa
VINO JOSIÆ CUVEE 0,75 L;46860;;0,7500;l;14,28;19,04;;;14,28;3859890442066;Piæa
VINO JOSIÆ GRAŠEVINA 0,75 L;46862;;0,7500;l;11,49;15,32;;;10,22;3859890442028;Piæa
SIR CAMEMBERT VINDIJA 250 g;46971;Vindija;0,2500;kg;;15,96;3,99;4,99;4,99;3850108051902;Hrana
SIR BRIE PRESIDENT 200 g;47050;President;0,2000;kg;;17,95;3,59;4,39;4,39;3228020232028;Hrana
VINO PLAVAC MILIÈIÆ 1 L;47471;;1,0000;l;5,38;5,38;;;5,38;3859888400047;Piæa
SNACK OD SVJ.SIRA AZURNA 100 g;47486;;0,1000;kg;;29,90;2,99;3,49;3,49;3480341002692;Hrana
VINO CRNO BLATINA 1 L;47555;;1,0000;l;4,99;4,99;;;5,09;3870083000559;Piæa
VINO BLATINA DE BROTO 0,75 L ;47557;;0,7500;l;8,99;11,99;;;8,79;3870083000146;Piæa
VINO HERCEG ŽILAVKA 1 L;47558;;1,0000;l;4,99;4,99;;;5,09;3870083000658;Piæa
VINO KAMENO 0,75 L;47560;;0,7500;l;8,99;11,99;;;8,39;3870083000467;Piæa
PIVO PILSNEL URQUEL 0,5 L LIM.;47743;Pilsner;0,5000;l;1,82;3,64;;;1,82;8594404115115;Piæa
VINO TERAN BQ FR.ARMAN 0,75 L;48062;;0,7500;L;29,39;39,19;;;29,39;3859891697052;Piæa
VINO F.ARMAN PIN.SIVI 0,75 L ;48063;;0,7500;L;13,22;17,63;;;13,22;3859891697038;Piæa
LED.ÈAJ BRUSNICA/ŠU.VOÆE 0,5 L;48065;Jana;0,5000;l;1,19;2,38;;;1,19;3858884601731;Piæa
LED.ÈAJ BRUS./ŠU.VOÆE 1,5 L ;48066;Jana;1,5000;l;;0,97;1,45;1,69;1,69;3858884601717;Piæa
PECIVO KVIKI GRIC 100 g;48078;Kviki;0,1000;kg;;11,10;1,11;1,39;1,49;3850104225277;Hrana
ŠTAPIÆI KVIKI 220 g;48081;Kviki;0,2200;kg;;6,50;1,43;1,79;1,79;3850104224966;Hrana
PUDIN.LJEŠ.ÈOK. Z BREGOV 125 g;48134;Vindija;0,1250;kg;0,65;5,20;;;0,65;38503924;Hrana
PAŠTETA CEKIN PILEÆA 50 g;48182;Cekin;0,0500;kg;,79;15,80;;;0,73;3850159130069;Hrana
PAŠTETA CEKIN PILEÆA 100 g;48183;Cekin;0,1000;kg;1,05;10,50;;;1,06;3850159130076;Hrana
TARTUFATA ZIGANTE 80 g;48238;Zigante;0,0800;kg;10,99;137,38;;;10,98;3859889179201;Hrana
TARTUFI I VRGANJI ZIGANTE 80 g;48240;Zigante;0,0800;kg;13,29;166,13;;;13,29;3859889179300;Hrana
TARTUFI I ŠAMPINJ.ZIGANTE 80 g;48242;Zigante;0,0800;kg;6,39;79,88;;;6,99;3859889179409;Hrana
TARTUFI ZIGAN.CRNI CIJELI 25 g;48247;Zigante;0,0250;kg;14,99;599,60;;;14,99;3859889179010;Hrana
TARTUFI ZIGANTE CRNI SJEC.30 g;48248;Zigante;0,0300;kg;15,39;513,00;;;15,39;3859889179140;Hrana
SALAMA ZIMSKA NAR 100 g;48258;Pik;0,1000;kg;;25,90;2,59;2,79;2,79;3850139010480;Hrana
ŠUNKA KUHANA 125 g;48263;Pik;0,1250;kg;2,39;19,12;;;2,29;3850139360516;Hrana
LEDENI ÈAJ VINDI BRESKVA 2 L;48347;;2,0000;l;2,25;1,13;;;2,25;3850108071337;Piæa
NEKTAR VINDI JABUKA 2 L;48348;;2,0000;l;2,59;1,30;;;1,99;3850108078749;Piæa
VINO BLATO PLAVAC VRH.0,75 L;48372;;0,7500;L;10,99;14,65;;;12,69;3859888154339;Piæa
VINO BLATO POŠIP ZOI 0,75 L;48373;Blato 1902;0,7500;l;9,69;12,92;;;9,69;3859888154377;Piæa
MESNI NAREZAK PPK 100 g;48396;Ppk;0,1000;kg;0,79;7,90;;;0,89;3858881617056;Hrana
PUREÆE MLJEVENO MESO 500 g;48759;Vindon;0,5000;kg;5,49;10,98;;;5,49;3850339413043;Hrana
RIŽA SCOTTI CARNAROLI 1 kg;48871;Scotti;1,0000;kg;5,99;5,99;;;8,99;8001860010019;Hrana
UMAK KUHNE CHILI LJUTI 250 ml;48939;Kuehne;0,2500;l;2,49;9,96;;;3,29;40804835;Hrana
UMAK KUHNE ÈEŠNJAK 250 ml;48940;Kuehne;0,2500;l;2,59;10,36;;;3,29;40804972;Hrana
MARM.BONNE MAMAN NARANÈA 370 g;48941;Bonne Maman;0,3700;kg;4,99;13,49;;;5,59;3608580705161;Hrana
VINO PILATO MUŠKAT 0,5 L;49116;;0,5000;l;13,49;26,98;;;11,98;3859889192071;Piæa
VINO MARIJAN ARMA.MUŠK.0,50 L;49118;;0,5000;L;14,69;29,38;;;14,69;3859893024078;Piæa
BOMBON.AFTER EIGHT CLASS.200 g;49276;After Eight ;0,2000;kg;3,59;17,95;;;2,99;7613034937575;Hrana
VOSAK TAFT POWER 75 ml;49297;Taft;0,0750;L;4,49;59,87;;;4,39;9000100340373;Kozmetika
Palamida;49554;;1,0000;kg;10,49;10,49;;;10,49;93856024301155;Hrana
SOL KUHINJSKA TUZLA KAMEN.1 kg;50145;Tuzla;1,0000;kom;0,89;0,89;;;0,76;3870009000014;Hrana
Tikva butternut;50159;;1,0000;kg;;0,79;0,79;1,19;1,49;3858885877838;Hrana
DATULJE SEEBERGER BK 200 g;50321;Seeberger;0,2000;kg;;16,75;3,35;3,56;3,89;4008258252017;Hrana
SMOKVE SUHE SEEBERGER 200 g;50323;Seeberger;0,2000;kg;;20,95;4,19;4,49;4,29;4008258235003;Hrana
ŠLJIVE SUHE SEEBERGER 200 g;50324;Seeberger;0,2000;kg;;18,95;3,79;4,05;4,49;4008258324011;Hrana
BRUSNICE SEEBERGER 125 g;50325;Seeberger;0,1250;kg;;25,52;3,19;3,39;3,99;4008258185001;Hrana
VINA KOPER SLAT. MUŠKAT 0,75 L;50406;;0,7500;l;10,79;14,39;;;10,79;3830000700337;Piæa
PRALINE MON CHERI 52,5 g;50614;Ferrero;0,0525;kg;1,89;36,00;;;1,69;40084084;Hrana
Tikva hokaido crvena;50712;;1,0000;kg;1,29;1,29;;;1,09;3858885874981;Hrana
Tolstolobik odrezak ;50724;;1,0000;kg;5,79;5,79;;;5,79;3858889830303;Hrana
Smuð cijeli svježi;50730;;1,0000;kg;15,99;15,99;;;15,99;3858889830358;Hrana
Juneæa koljenica sk ossobuco;50756;SPAR marka kvalitete;1,0000;kg;14,99;14,99;;;12,99;;Hrana
Teleæe mljeveno meso;50768;SPAR marka kvalitete;1,0000;kg;16,59;16,59;;;16,59;;Hrana
PIVO HEINEKEN DRAUGHT KEG.5 L;50887;Heineken;5,0000;l;21,99;4,40;;;19,99;8712000025649;Piæa
Sabljarka file;51182;;1,0000;kg;22,49;22,49;;;22,49;93856024300332;Hrana
Orada ulov jadransko more;51275;;1,0000;kg;9,49;9,49;;;9,49;93856024301018;Hrana
MARAM.ZEWA DELUXE PERF.10X10/1;51357;Zewa;10,0000;kom;1,95;0,20;;;1,95;7322540061475;Toaletne potrepštine
Dunja rfs;51498;;1,0000;kg;2,29;2,29;;;1,99;3858885876466;Hrana
VINO ENJINGI PINOT SIVI 0,75 L;51832;;0,7500;L;11,99;15,99;;;11,22;3859892375089;Piæa
VINO ENJINGI SAU.KAS.B. 0,75 L;51834;;0,7500;l;14,49;19,32;;;13,92;3859892375249;Piæa
Hlap chix;52159;;1,0000;kg;42,99;42,99;;;49,99;93856024301766;Hrana
Hobotnica ;52168;;1,0000;kg;20,79;20,79;;;20,79;3856024300520;Hrana
WHISKY CHIVAS 12 YO 0,7L+2ÈAŠE;52175;Chivas Regal;0,7000;l;;42,84;29,99;32,99;33,02;5000299228661;Piæa
RAKIJA TRAVAR. PATRIK 0,5 L ;52355;Patrik;0,5000;l;11,99;23,98;;;11,99;3859890672227;Piæa
VINO MATUŠKO PLAV. MALI 0,75 L;52736;;0,7500;L;5,09;6,79;;;5,09;3859889396233;Piæa
VINO DINGAÈ MATUŠKO 0,75 L;52738;;0,7500;L;;21,32;15,99;21,02;21,02;3859889396127;Piæa
Kolaè Maðarica 450g;53003;;0,4500;kg;6,49;14,42;;;6,49;3859890208952;Hrana
SENF KREMSER MAUTNER MAR.200 g;53194;Mautner Markhof;0,2000;kg;1,99;9,95;;;1,15;9011900139647;Hrana
VANIL.ŠEÆ.DR.OETKER BURBON 10g;53232;Dr. Oetker;0,0100;kg;0,49;49,00;;;0,49;5997381337779;Hrana
WHISK.J.W.RED LABEL 0,7 L;53238;Johnnie Walker;0,7000;L;17,19;24,56;;;18,59;5000267014203;Piæa
LOSION LACTACYD DAILY 200 ml;53322;Lactacyd;0,2000;L;5,19;25,95;;;3,85;5391520943072;Toaletne potrepštine
VINO ANTUNOVIÆ POSTUP 0.75 L;53586;;0,7500;l;10,99;14,65;;;10,99;3859889063012;Piæa
ÈOKOLADA ZA KUHANJE SPAR 250 g;53593;SPAR;0,2500;kg;;12,56;3,14;4,49;4,49;9100000048321;Hrana
RIŽA MIX GALLO 3 VRSTE 800 g;53595;Gallo;0,8000;kg;5,39;6,74;;;5,39;8001420011296;Hrana
ÈAJ TEEKANE ZELENI CHAI 35 g;53599;Teekanne;0,0350;kg;2,49;71,14;;;2,49;5901086001002;Piæa
Šaran cijeli svježi;53649;;1,0000;kg;5,99;5,99;;;5,99;3858889830228;Hrana
PIVO PAUL.WEIS.DUNK.B.0,5 L;53912;Paulaner;0,5000;l;1,98;3,96;;;1,98;4066600941972;Piæa
ULOŠ.LIBRESSE NORMAL 20/1;54080;Libresse;20,0000;kom;1,99;0,10;;;1,99;7322541237275;Toaletne potrepštine
ULJE BLUE DRAGON SEZAM 150 ml;54106;Dragon;0,1500;L;5,29;35,27;;;5,99;5010338405205;Hrana
DVOPEK KLARA CLASSIC 225g;54107;Klara;0,2250;kg;2,99;13,29;;;2,79;3858881327528;Hrana
ÈOKOLADA VRUÆA CIOBAR 5/1;54121;Dr. Oetker;0,1250;kg;3,29;26,32;;;3,29;5997381334686;Piæa
SIR SALAKIS U SAL.PRESID.500 g;54144;President;0,5000;kg;7,99;15,98;;;7,69;3850355001651;Hrana
SIR SALAKIS U SAL.PRESID.250 g;54145;President;0,2500;kg;4,99;19,96;;;4,79;3850355001637;Hrana
NEKTAR SPAR ANANAS 50% 1 L;54153;SPAR;1,0000;l;1,89;1,89;;;1,89;9100000808628;Piæa
Lignja patagonijska;54261;;1,0000;kg;12,99;12,99;;;12,99;93856024300844;Hrana
LIKER PATRIK VIŠNJA 0,5 L;54382;;0,5000;l;13,22;26,44;;;13,22;3859890672364;Piæa
KUKURUZ ŠEÆERAC PODRAVKA 150 g;54426;Podravka;0,1400;kg;1,19;8,50;;;1,19;3850104221682;Hrana
ULOŠCI ALWAYS ULTRA NIGHT 14/1;54550;Always;14,0000;kom;3,45;0,25;;;3,45;8700216861052;Toaletne potrepštine
ULJE MASL.EKS.DJEV.BRACHIA 1 L;54679;;1,0000;L;;15,99;15,99;18,99;21,99;3859891526086;Hrana
KAVA FRANCK INST.BEZ KOF.100 g;54700;Franck;0,1000;kg;5,49;54,90;;;5,49;3850291055251;Piæa
ÈOKOLADNA RUM PLOÈICA 45 g ;55091;Kandit;0,0450;kg;0,75;16,67;;;0,75;3858881042186;Hrana
KAŠICA FRUTEK JAB.KEKS 190 g;55094;Fructal;0,1900;kg;1,05;5,53;;;1,75;3838945511391;Hrana
