NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Topljeni sir u kadicama SK18,0003834,0.2,200g,Milbona,1.89,,,9.45,4056489117605,Hrana,"1,89"
Èokoladni vafli SK10,0003869,0.125,125g,Sondey,1.99,,,15.92,20113735,Hrana,"1,69"
"Bellarom Minas mljevena kava, 200g",0003892,0.2,200g,Bellarom,3.49,,,17.45,4056489925439,Piæe,"3,19"
Pesto SK17,0003914,0.19,190g,Baresa,1.85,,,9.74,20425562,Hrana,"1,85"
Pro Vitamin balzam za kosu SK9,0003947,0.299,300ml,Cien,1.49,,,4.97,20250874,Kozmetika,"1,49"
Pro Vitamin balzam za kosu SK9,0003947,0.299,300ml,Cien,1.49,,,4.97,4056489176374,Kozmetika,"1,49"
Old Spice Deo stick,0004454,0.056,50ml,,3.85,,,77,8001841283906,Kozmetika,"3,85"
Old Spice Deo stick,0004454,0.056,50ml,,3.85,,,77,8700216162173,Kozmetika,"3,85"
Old Spice Deo stick,0004454,0.056,50ml,,3.85,,,77,8700216203982,Kozmetika,"3,85"
Bebimil Hrana za dojenèad 2,0004474,0.6,600g,,11.25,,,18.75,9007253104906,Hrana,"11,25"
Heineken pivo 5.0 %,0004768,0.5,"0,5l",,1.75,,,3.5,3830001714692,Piæe,"1,67"
Heineken pivo 5.0 %,0004768,0.5,"0,5l",,1.75,,,3.5,5998822360189,Piæe,"1,67"
"Kinder Schoko-Bons, 125g",0004806,0.125,125g,,3.69,,,29.52,5413548280189,Hrana,"3,29"
Mileram 22% m.m.,0004807,0.9,900g,Pilos,2.89,,,3.21,20449049,Hrana,"2,89"
"Mallow Cocktail, 300g",0004840,0.3,300g,Sweet Corner,1.99,,,6.63,20564087,Hrana,"1,99"
"Mljeveno miješano meso XXL, 1kg",0004935,1,1kg,Naša mesnica,5.39,,,5.39,20539825,Hrana,"4,85"
