NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Vindija Puding èokolada,6901016,0.125,125g,,0.65,,,5.2,38500039,Hrana,"0,65"
"'z bregov Svježe mlijeko 3,2% m.m.",6901019,1,1l,,1.49,,,1.49,3850108011715,Hrana,"1,49"
Èvarci XXL,6901026,0.3,300g,Okusi zavièaja,4.99,,,16.63,40894744,Hrana,"4,29"
"Ožujsko Svijetlo pivo 5%, 2l",6901076,2,2l,,3.79,,,1.9,3850131001608,Piæe,"3,62"
"Löwenbräu Svijetlo pivo 4%, 2l",6901098,2,2l,,2.79,,,1.4,3850131004043,Piæe,"2,68"
Orah kiflice XXL,6901111,0.5,500g,Okusi zavièaja,3.99,,,7.98,20779450,Hrana,"3,89"
Nivea Krema,6901135,0.242,250ml,,5.15,,,20.6,4005808158041,Kozmetika,"5,15"
Nivea Body Milk SK2,6901147,0.25,250ml,,4.89,,,19.56,9005800377889,Kozmetika,"4,89"
Pitroid Elek. aparat + 10 tableta,6901169,0.119,119g,,5.49,,,5.49,3856007902055,Proizvodi za kuæanstvo,"6,45"
RFA Puding èokolada sa šlagom,6901216,0.5,4x125g,Pilos,1.49,,,2.98,20660314,Hrana,"1,49"
Tuš za oèi SK3 ,0120329,0.006,1komad,Cien Beauty,2.35,,,2.35,20066499,Kozmetika,"2,35"
Tuš za oèi SK3 ,0120329,0.006,1komad,Cien Beauty,2.35,,,2.35,20828639,Kozmetika,"2,35"
Tuš za oèi SK3 ,0120329,0.006,1komad,Cien Beauty,2.35,,,2.35,4056489619840,Kozmetika,"2,35"
Amerièki mlijeèni napitak SK1,0120470,0.529,500ml,MCENNEDY,1.99,,,3.98,4304493261860,Hrana,"1,59"
Chips SK2,0120701,0.2,200g,Alpenfest,1.59,,,7.95,20778187,Hrana,"1,59"
Tvrdi biljni bomboni bez šeæera SK9,0121723,0.125,125g,Alpenfest,1.59,,,12.72,20782245,Hrana,"1,49"
Tvrdi biljni bomboni bez šeæera SK9,0121723,0.125,125g,Alpenfest,1.59,,,12.72,20782252,Hrana,"1,49"
Višenamjenske vlažne maramice,0121962,0.498,100komad,W5,1.49,,,0.01,20877989,Proizvodi za kuæanstvo,"1,49"
Cantuccini XXL SK4,0179716,0.5,500g,Italiamo,2.99,,,5.98,4056489697398,Hrana,"2,99"
Èok. bomboni s mlij. punjenjem SK1,0179726,0.2,200g,Mister Choc,3.49,,,17.45,4056489697428,Hrana,"3,49"
Proteinske kuglice SK1,0179832,0.09,90g,Mister Choc,2.69,,,29.89,4056489698296,Hrana,Nije_bilo_u_prodaji_02.05.2025
Slojeviti desert od sladoleda  SK1,0180111,0.37,473ml,Deluxe,2.79,,,5.9,4056489697756,Hrana,"3,49"
Tvrdi bomboni SK1,0180452,0.095,"80g, 100g",Amanie,,0.75,1.09,7.5,4056489713340,Hrana,"1,09"
Tvrdi bomboni SK1,0180452,0.095,"80g, 100g",Amanie,,0.75,1.09,7.5,4056489713364,Hrana,"1,09"
Razlièiti deserti SK21,0180597,0.475,"450g,500g",Deluxe,3.79,,,8.42,4056489714248,Hrana,Nije_bilo_u_prodaji_02.05.2025
Hrana za maèke XXL SK2,0180681,2.4,24x100g,Coshida,6.99,,,2.91,20262679,Proizvodi za kuæanstvo,"6,99"
Mlijeèno žitna ploèica SK1,0181341,0.212,"9x23,5g",Mister Choc,3.49,,,16.5,4056489724186,Hrana,"3,49"
Mlijeèno žitna ploèica SK1,0181341,0.212,"9x23,5g",Mister Choc,3.49,,,16.5,4056489724193,Hrana,"3,49"
Univerzalno sred. za èišæenje SK3,0181718,1.5,"1,5l",W5,1.89,,,1.89,4056489847045,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Univerzalno sred. za èišæenje SK1,0182565,1,1l,W5,1.69,,,1.69,4056489733942,Sredstva za èišæenje,"1,69"
Univerzalno sred. za èišæenje SK1,0182565,1,1l,W5,1.69,,,1.69,4056489749653,Sredstva za èišæenje,"1,69"
Easy snack XXL SK1,0183860,0.725,"700g,750g",Chef Select,6.99,,,9.99,4056489754978,Hrana,"6,99"
High Protein Mousse sa zaslað. SK2,0184078,0.175,175g,Milbona,1.19,,,6.8,4056489724070,Hrana,"1,19"
Žvakaæe gume Ice Cubes,0184399,0.092,92g,Jetgum,1.99,,,1.99,4056489644996,Hrana,Nije_bilo_u_prodaji_02.05.2025
Krema za sunèanje ZF50,0184438,0.103,100ml,Cien Sun,3.89,,,38.9,4056489764137,Kozmetika,"3,89"
Kotanyi Secrets SK4,0184462,0.035,"25g,30g,35g,38g,40g",,0.65,,,0.65,9001414418109,Hrana,"0,79"
Kotanyi Secrets SK4,0184462,0.035,"25g,30g,35g,38g,40g",,0.65,,,0.65,9001414418130,Hrana,"0,79"
Suhi šampon SK2,0184963,0.12,200ml,Cien,1.69,,,8.45,4056489572114,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
Toffee bijela èokolada,0185698,0.125,125g,Mister Choc,1.45,,,11.6,4056489788850,Hrana,"1,45"
Zaèinjene tagliatelle SK10,0186184,0.5,500g,Deluxe,2.49,,,4.98,4056489791881,Hrana,"1,89"
Zaèinjene tagliatelle SK10,0186184,0.5,500g,Deluxe,2.49,,,4.98,4056489798316,Hrana,"1,89"
Tijesto za pizzu,0186217,0.6,600g,Italiamo,2.29,,,3.82,4056489798477,Hrana,"2,29"
Chili con Carne,0166912,0.9,900g,El Tequito ,4.49,,,4.99,4056489494850,Hrana,"3,32"
Craft pivo SK19,0168115,0.5,"0,5l",-,1.49,,,2.98,4054500140335,Piæe,"1,29"
Snack box,0168244,0.375,375g,Hatherwood,3.99,,,10.64,20034290,Hrana,"3,99"
Krema za ruke SK1,0168553,0.101,100ml,Cien,1.1,,,11,4056489526735,Kozmetika,"1,15"
Krema za ruke SK1,0168553,0.101,100ml,Cien,1.1,,,11,4056489849643,Kozmetika,"1,15"
Pivska kobasica,0130412,0.34,340g,Alpenfest,3.39,,,9.97,20954574,Hrana,"3,29"
Grickalice za pse SK1,0130809,0.16,"100g,150g,200g",Orlando,0.89,,,4.45,20971571,Proizvodi za kuæanstvo,"0,89"
Grickalice za pse SK1,0130809,0.16,"100g,150g,200g",Orlando,0.89,,,4.45,20971601,Proizvodi za kuæanstvo,"0,89"
Baguettes XXL SK1,0131007,0.525,3x175g,Chef Select,2.49,,,4.74,4056489447580,Hrana,"2,79"
Multivita Direct SK6,6903521,0.03,30g,,4.59,,,4.59,3858881248502,Hrana,"4,59"
Duracell Basic K5 SK2,6903598,0.095,5komad,,6.49,,,1.3,5000394047006,Proizvodi za kuæanstvo,"6,49"
Duracell Basic K5 SK2,6903598,0.095,5komad,,6.49,,,1.3,5000394090316,Proizvodi za kuæanstvo,"6,49"
Nivea Sun P&M hidra. Trigger ZF30,6903612,0.3,300ml,,9.95,,,33.17,4005808473908,Kozmetika,"9,95"
Nivea Sun P&M hidra. Trigger ZF30,6903612,0.3,300ml,,9.95,,,33.17,4005900118158,Kozmetika,"9,95"
Dukat kiselo vrhnje 12% m.m.,6903657,0.9,900g,,2.85,,,3.17,3850354009863,Hrana,"2,85"
"Bacardi Carta Blanca Rum 37,5%",6903663,0.74,"0,7l",,12.99,,,18.56,5010677013147,Piæe,"18,02"
Margarin za kuhanje i peèenje 60%,6903668,0.25,250g,Vita D'or,0.7,,,2.8,20250836,Hrana,"0,75"
Sladoled u kornetu - èokolada,0001057,0.07,120ml,Ballino,0.59,,,4.92,20407926,Hrana,"0,59"
Kapsule za pranje rublja SK4,0207435,0.756,36x21g,Formil,8.99,,,11.89,4335619023499,Sredstva za èišæenje,"8,99"
Sladoled SK12,0207510,0.445,750ml,Italiamo,2.79,,,3.72,20151324,Hrana,"2,79"
Sladoled SK12,0207510,0.445,750ml,Italiamo,2.79,,,3.72,20294496,Hrana,"2,79"
Èokoladne lizalice 5 kom.,0210441,0.075,75g,Mister Choc,1.29,,,17.2,4335619057500,Hrana,"1,29"
Kapsule za kavu Gold Lungo XXL,0210581,0.28,280g,Bellarom,8.99,,,32.11,4335619058118,Piæe,"6,99"
Veganski narezak SK3,0211121,0.125,125g,Vemondo,1.99,,,15.92,4056489826675,Hrana,"1,69"
"Käsewelt gouda, cca.3kg",0211915,1,ca. 3kg,,5.99,,,5.99,2802214000000,Hrana,"5,99"
Tamna èokolada s mentom,0212233,0.15,150g,J.D. Gross,2.29,,,15.27,4335619081062,Hrana,Nije_bilo_u_prodaji_02.05.2025
Bio Soja vrhnje za kuhanje,0212864,0.2,250ml,Vemondo,1.19,,,4.76,4335619082106,Hrana,Nije_bilo_u_prodaji_02.05.2025
Deterdžent za rublje 100pr SK4,0213225,5.05,5l,Maxitrat,7.69,,,7.69,4056489989387,Sredstva za èišæenje,"7,69"
Goldbrand Spirituose 28% Vol.,0213562,0.673,"0,7l",Alliance,5.39,,,7.7,4304493269989,Piæe,"5,39"
Pileæe punjene okruglice SK1,0213662,0.28,280g,1001 delights,2.79,,,9.96,4335619084209,Hrana,"3,05"
Mini posip za kolaèe SK2,0214044,0.053,"55g,50g",Belbake,1.99,,,39.8,4335619104945,Hrana,Nije_bilo_u_prodaji_02.05.2025
Smjesa za muffine bubamara,0215228,0.39,390g,Belbake,3.29,,,8.44,4335619100596,Hrana,"3,29"
Krem sir SK84,0215272,0.125,125g,Milbona,1.99,,,15.92,4335619101050,Hrana,"1,99"
Tart sa sirom/ribanim tijestom SK44,0215581,1.25,1250g,Alpenfest,5.19,,,4.15,20193454,Hrana,"4,99"
Punjena tjestenina SK1,0215713,0.25,250g,Alpenfest,1.99,,,7.96,4056489290391,Hrana,"1,79"
Veganski njoki SK1,0215733,0.5,"400g,600g",Vemondo,1.29,,,2150,4056489706298,Hrana,"1,29"
"Spužva za odstran. mrlja 11x7x2,9cm",0215862,0.012,6komad,W5,2.19,,,0.37,4335619321434,Proizvodi za kuæanstvo,"2,19"
Blanširane kozice XXL,0216430,1,1000g,Ocean Sea,15.49,,,15.49,4335619110113,Hrana,Nije_bilo_u_prodaji_02.05.2025
Violeta Baby pelene Maxi 4,6908222,3.684,120komad,,19.99,,,0.17,3870128032965,Toaletne potrepštine,"19,99"
"Tekuæi jogurt 0,5%",6908236,1,1kg,Pilos,1.39,,,1.39,4056489925774,Hrana,"1,39"
Proteini.si Protein bar Vanilla Ice,6908241,0.05,50g,,1.09,,,21.8,3830081429837,Hrana,"1,15"
Promes Cvanciger Sisaèka salama,6908248,0.5,500g,,9.49,,,18.98,3859891518623,Hrana,"9,49"
"Zimska salama, narezak",6908251,0.3,300g,Pikok,3.99,,,13.3,4056489925804,Hrana,"3,99"
Kulenova seka,6908267,0.5,500g,Okusi zavièaja,5.99,,,11.98,4056489925873,Hrana,"5,99"
"Kulenova seka, 250g",6908268,0.25,250g,Okusi zavièaja,3.49,,,13.96,4056489925880,Hrana,"3,99"
Festigia Castello,6908289,0.75,"0,75l",,13.89,,,18.52,3858881191990,Piæe,"13,89"
Nivea Gel za tuširanje SK1,6908301,0.512,500ml,,5.99,,,11.98,4005900047700,Kozmetika,"4,49"
Nivea Dezodorans SK1,6908316,0.155,250ml,,6.29,,,25.16,9005800367477,Kozmetika,"6,29"
Nivea Dezodorans SK1,6908316,0.155,250ml,,6.29,,,25.16,9005800367484,Kozmetika,"6,29"
Kraš Petit Beure keksi s maslacem,6908324,0.96,960g,,3.99,,,4.16,3850102311446,Hrana,"3,99"
"Andro šunka, narezak",6908347,0.5,500g,,6.99,,,13.98,3858892822791,Hrana,"6,89"
Indomie Instatnt juha okus govedina,6908367,0.35,5x70g,,2.09,,,5.97,8606108584132,Hrana,"2,09"
Rio Mare Komadi tune Naturale,6908371,0.16,160g,,1.75,,,10.94,8004030595033,Hrana,"1,85"
"Paulaner Pšenièno pivo 5,5%",6908416,2,"4x0,5l",,5.59,,,2.8,4066600392811,Piæe,"5,59"
Voæni jogurt 2.8% jagoda,6908544,0.4,400g,Pilos,0.99,,,2.48,4056489926283,Hrana,"0,99"
Košarica Iva/Dora SK1,6908577,0.9,1komad,,6.99,,,6.99,3858892743614,Proizvodi za kuæanstvo,"6,99"
Mini èokoladice,0098620,0.35,350g,Mister Choc,3.69,,,10.54,20553081,Hrana,"3,59"
Mini èokoladice,0098620,0.35,350g,Mister Choc,3.69,,,10.54,4056489928416,Hrana,"3,59"
Maska za lice 2x8ml SK2,0098722,0.017,1komad,Cien,0.59,,,0.59,20516529,Kozmetika,"0,59"
Mini salama,0098848,0.05,2x25g,Dulano,1.39,,,27.8,20565732,Hrana,"1,39"
"Vital krema za lice, SK1",0098905,0.051,50ml,Cien,2.29,,,45.8,4056489236061,Kozmetika,"2,29"
BENGAL Spirala protiv komaraca,0099017,0.122,10komad,,0.99,,,0.1,8008090602250,Proizvodi za kuæanstvo,"0,99"
BENGAL Spirala protiv komaraca,0099017,0.122,10komad,,0.99,,,0.1,8008090603271,Proizvodi za kuæanstvo,"0,99"
Nescafé Dolce Gusto Barista ,0000530,0.104,104g,,5.29,,,50.87,8445290869531,Piæe,"4,49"
Always Ultra Quattro ulošci SK,0000536,0.165,"40komad,24komad,28komad,20komad",,4.99,,,0.21,8006540903766,Toaletne potrepštine,"4,99"
Always Ultra Quattro ulošci SK,0000536,0.165,"40komad,24komad,28komad,20komad",,4.99,,,0.18,8700216861182,Toaletne potrepštine,"4,99"
Naturella Ultra ulošci SK,0000538,0.148,"40komad,32komad,28komad",,4.79,,,0.15,8006540399521,Toaletne potrepštine,"4,79"
Nescafe Dolce G. Rist. Barista 16k.,0000573,0.112,112g,,4.49,,,40.09,7613036867580,Piæe,"4,49"
Syoss šampon Keratin,0000582,0.77,750ml,Henkel,6.99,,,9.32,5201143725606,Kozmetika,"6,45"
Persil Prašak za pranje rublja Sil.,0000630,6.05,"6,05kg",Henkel,23.99,,,23.99,9000101806083,Sredstva za èišæenje,"23,99"
"Ariel tekuæi deterdžent Color, 74pr",0000667,3.822,"3,7l",,15.49,,,4.19,8006540869390,Sredstva za èišæenje,"15,49"
"Somat Tabs Premium 4in1, 88 kom",0000695,1.593,88 komada,,17.99,,,0.2,9000101831559,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
"Somat Caps Excellence 5in1, 80 kom.",0000696,1.488,80 kom,,17.99,,,0.22,9000101831658,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Lenor omekšivaè Gold Orchid 59pra.,0000698,1.239,"1,24l",,6.55,,,5.28,8700216724081,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Haribo gumeni bomboni Zlatni medo,0000700,0.2,200g,,2.45,,,12.25,9002975301268,Hrana,"2,45"
SYOSS regenerator CURLS & WAVES,0000741,0.44,440ml,Henkel,4.49,,,10.2,9000101277999,Kozmetika,"4,49"
Perwoll Tekuæi det. Black 40 pranja,0000761,2.058,2l,,8.95,,,4.48,9000101808445,Sredstva za èišæenje,"8,95"
Gourmet Gold Mix,0000765,1.02,12x85g,,8.99,,,8.81,8445291506060,Proizvodi za kuæanstvo,Nije_bilo_u_prodaji_02.05.2025
Milka keksi Lilastix,0000775,0.112,112g,,1.99,,,17.77,7622210406354,Hrana,Nije_bilo_u_prodaji_02.05.2025
Gillette Brijaè Mach3 Sport +3 brit,0000785,0.04,1komad,,11.19,,,11.19,8700216889209,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
"Filet lososa s kožom, cca. 200-400g",0124551,1,ca. 200-400g,-,,14.99,19.99,14.99,2895633000000,Hrana,"19,99"
"Filet lososa s kožom, cca. 200-400g",0124551,1,ca. 200-400g,-,,14.99,19.99,14.99,2895635000000,Hrana,"19,99"
Bio Organic Pizza ,0124649,0.421,421g,Trattoria Alfredo,4.19,,,9.95,20899226,Hrana,"4,19"
"Pšenièno pivo 5,5%",0125033,4.026,"6x0,5l",Perlenbacher,6.09,,,2.03,20866457,Piæe,"6,09"
"Cimet, mljeveni 45g",0125217,0.045,45g,Kania,0.99,,,0.99,4056489411857,Hrana,"0,99"
Skyr (jogurt) voæni SK1,0125984,0.15,150g,Pilos,0.95,,,6.33,20881054,Hrana,"0,95"
Rumenilo SK5,0126194,0.005,1komad,Cien,2.39,,,2.39,20030711,Kozmetika,"2,39"
Mesne okruglice orijentalne SK1,0195122,0.28,280g,1001 delights,2.79,,,9.96,4056489904939,Hrana,"2,79"
Proteinski namaz SK1,0196240,0.32,320g,Mister Choc,4.49,,,14.03,4056489917953,Hrana,"3,99"
High Protein Puding sa šlagom SK1,0196817,0.46,4x115g,Milbona,2.49,,,5.41,4056489920052,Hrana,"2,49"
High Protein Puding sa šlagom SK1,0196817,0.46,4x115g,Milbona,2.49,,,5.41,4056489920069,Hrana,"2,49"
Gurmanske salame SK1,0196953,0.08,80g,Deluxe,1.79,,,22.38,4056489920281,Hrana,"2,29"
"Bio kašica puretina, riža, povræe",0196976,0.22,220g,Lupilu,0.95,,,4.32,4056489920519,Hrana,"0,95"
"Amaretto 21,5% Vol.",0197858,0.752,"0,7l",Armilar,5.49,,,7.84,4304493269842,Piæe,"5,49"
BO Donut s pizza nadjevom,0198605,0.1,90g,,0.99,,,11,4056489936060,Hrana,Nije_bilo_u_prodaji_02.05.2025
Okruglice SK1,0198666,0.28,280g,Vitasia,2.79,,,9.96,4056489936329,Hrana,Nije_bilo_u_prodaji_02.05.2025
Bio voæna kašica SK1,0199176,0.4,4x100g,Lupilu,2.49,,,6.23,4056489691464,Hrana,"2,19"
Termo vreæica Eco,0199385,0.101,1komad,-,0.99,,,0.99,4056489940265,Proizvodi za kuæanstvo,"0,89"
Alkalna baterija AAA,0199971,0.14,12komad,Tronic,2.69,,,0.22,4335619081130,Proizvodi za kuæanstvo,"2,69"
Tuna u suncokretovom ulju,0200047,0.74,4x185g,Nixe,7.99,,,10.8,4056489957201,Hrana,"7,99"
Burger SK1,0200893,0.205,"200g,210g",Chef Select,1.99,,,9.95,4056489962335,Hrana,"1,99"
High Protein Wraps,0201720,0.32,320g,Tastino,1.59,,,4.97,4056489983507,Hrana,"1,59"
Ketchup,0202079,0.564,500ml,Kania,1.59,,,3.18,4056489988656,Hrana,"1,59"
Kotanyi Quick & Easy SK2,0203026,0.033,"25g,26g,30g,35g,40g",,0.79,,,0.79,9001414237175,Hrana,"0,69"
Kotanyi Quick & Easy SK2,0203026,0.033,"25g,26g,30g,35g,40g",,0.79,,,0.79,9001414237243,Hrana,"0,69"
Double sladoled na štapiæu SK16,0203637,0.288,"4x85ml,4x90ml",Gelatelli,4.49,,,12.47,4335619008991,Hrana,"4,49"
Bou.MarsMil.SnickerTwiMin SK5,0203889,0.227,227g,,3.99,,,17.58,5000159562294,Hrana,"3,59"
Smoothies SK4,0204235,0.793,"0,75l",Solevita,2.99,,,3.99,4304493271869,Hrana,Nije_bilo_u_prodaji_02.05.2025
Grèki umaci SK1,0204413,0.19,190g,Eridanous,2.49,,,13.11,4335619011304,Hrana,Nije_bilo_u_prodaji_02.05.2025
Humus SK56,0205149,0.175,175g,Chef Select,1.49,,,8.51,4056489961352,Hrana,"1,19"
Èokoladno pecivo,0205308,0.275,275g,Duc de Coeur,2.29,,,8.33,4335619014664,Hrana,"2,29"
Princes krafne SK15,0205318,0.4,400g,Für Dich,5.49,,,13.73,20248284,Hrana,"5,49"
Smrznuto voæe XXL SK7,0205394,0.925,"1000g,750g",Freshona,4.99,,,4.99,20535193,Hrana,"4,49"
XXL Zaèin za salatu u limenci SK1,0205405,0.154,"140g,155g,160g,165g",Kania,2.39,,,14.48,4335619015210,Hrana,"2,99"
XXL Zaèin za salatu u limenci SK1,0205405,0.154,"140g,155g,160g,165g",Kania,2.39,,,14.94,4335619015234,Hrana,"2,99"
Regenerator za kosu SK7,0206654,0.321,330ml,Cien,2.29,,,6.94,4056489994305,Kozmetika,"2,29"
Regenerator za kosu SK7,0206654,0.321,330ml,Cien,2.29,,,6.94,4335619202283,Kozmetika,"2,29"
Zott Monte Maxi Original,0206837,0.4,4x100g,,2.59,,,6.48,40145389,Hrana,"2,52"
Gel za tuširanje SK1,5549442,0.52,500ml,Cien,1.39,,,2.78,4056489662310,Kozmetika,"1,29"
Owolovo smoothie SK1,5549581,0.265,250ml,,1.29,,,5.16,5901958613760,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Gel za intimnu njegu, SK3",5556056,0.41,400ml,Siempre,1.69,,,4.23,4056489785378,Kozmetika,"1,69"
"Gel za tuširanje XXL za muš., SK2",5559508,1,1000ml,Cien,1.59,,,1.59,4056489878674,Kozmetika,"1,59"
Proljetne rolice SK2,5560252,0.23,230g,Vitasia,2.29,,,9.96,4056489880882,Hrana,"2,29"
Tekuæi sapun SK2,5561638,1.025,1000ml,Cien,1.15,,,1.15,4056489813460,Kozmetika,"1,15"
Sred. za pra. posuð. u gel kon. SK1,5564310,1.03,1l,W5,1.79,,,1.79,4335619007093,Sredstva za èišæenje,"1,79"
Kava 3u1 s okusima SK1,5565763,0.17,10x17g,Bellarom,1.69,,,9.94,4335619035096,Piæe,Nije_bilo_u_prodaji_02.05.2025
Deterdžent za posuðe SK1,5568840,1.538,"1,5l",W5,1.59,,,1.06,4335619095090,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Jetrena i èajna pašteta SK1,5579700,0.13,130g,Baroni,0.89,,,6.85,4335619094260,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Keks s maslacem i èok., SK21",0013337,0.125,125g,Sondey,1.99,,,15.92,20669188,Hrana,"1,89"
Handcooked chips SK2,6903902,0.125,125g,Snack Day,1.29,,,10.32,20251604,Hrana,"1,29"
Aquafresh djeèja pasta za zube SK2,6903927,0.05,50ml,,2.89,,,57.8,3830029292202,Kozmetika,"2,59"
Eva Tuna salata Kvinoja,6903962,0.16,160g,,1.99,,,12.44,3856020217679,Hrana,"1,99"
Violeta Tekuæi deterdžent Color 45p,6904010,2.816,"2,7l",,6.99,,,0.16,3870128017085,Sredstva za èišæenje,"9,29"
Violeta tek. det. Protect Color 66p,6904011,4.12,"3,96l",,5.99,,,0.09,3870128017115,Sredstva za èišæenje,"6,89"
Kinder figura Xmas,6904074,0.055,55g,,1.35,,,24.55,80310334,Hrana,"1,45"
"Kiseli kupus, rezani, OM 435g",6904117,0.5,500g,Okusi zavièaja,0.99,,,2.28,4056489316404,Hrana,"0,89"
"Kiseli kupus glavica, cca. 1kg",6904118,1,ca 1kg,Okusi zavièaja,1.99,,,1.99,2891898000000,Hrana,"1,79"
Tablete protiv kamenca 60x15g,0171128,0.9,60x15g,W5,4.59,,,5.1,4056489698616,Sredstva za èišæenje,"4,59"
Premium masline SK3,0171233,0.15,150g,Deluxe,2.29,,,15.27,4056489554059,Hrana,"1,99"
Premium masline SK3,0171233,0.15,150g,Deluxe,2.29,,,15.27,4335619015432,Hrana,"1,99"
Prešane kosti za žvakanje SK2,0171463,0.106,"100g,170g,80g",Orlando,1.69,,,15.94,4056489546382,Proizvodi za kuæanstvo,"1,69"
Poklon set lak za nokte,0171702,0.066,3komad,Cien,1.99,,,1.99,4056489572671,Kozmetika,"1,99"
Grèki jogurt SK3,0171973,0.5,500g,Milbona,,1.65,2.19,3.3,4056489571124,Hrana,"2,19"
Ferrero Rocher Grand,0172394,0.125,125g,Ferrero,5.29,,,42.32,8000500373842,Hrana,"5,29"
Èokoladne figurice (Uskrs),0172453,0.2,200g,Favorina,3.39,,,16.95,4056489582847,Hrana,"3,39"
Tek. det. za pranje osj. rublja SK7,0172545,1.521,"1,5l",Formil,3.75,,,2.5,4056489441700,Sredstva za èišæenje,"3,75"
Voæni namaz,0173201,0.4,400g,Maribel,2.59,,,6.48,4056489593140,Hrana,"2,39"
Cheddar,7407368,0.24,240g,Hatherwood,3.29,,,13.71,4056489567455,Hrana,"3,29"
"Ardenska kobasica, narezak",7407831,1,ca. 160g,,16.19,,,16.19,2894965000000,Hrana,"16,19"
"Ardenska kobasica, narezak",7407831,1,ca. 160g,,16.19,,,16.19,2894967000000,Hrana,"16,19"
Èaj od ðumbira SK2,7505446,0.05,"49,5g",Lord Nelson,1.39,,,1.39,4056489332589,Piæe,"1,39"
Tofu XXL SK1,7509037,0.36,2x180g,Vemondo,1.79,,,4.97,4056489529729,Hrana,"1,69"
Oktoberfest knedle,7701155,0.5,500g,Alpenfest,2.29,,,4.58,4056489758174,Hrana,"2,29"
Tortelloni/Njoki od krumpira SK7,7701351,0.323,"250g,500g",Combino,1.19,,,4.76,20830991,Hrana,"1,19"
Tortelloni/Njoki od krumpira SK7,7701351,0.348,"250g,500g",Combino,1.19,,,4.76,20830984,Hrana,"1,19"
Tortelloni/Njoki od krumpira SK7,7701351,0.348,"250g,500g",Combino,1.19,,,2.38,20830991,Hrana,"1,19"
Sirup naranèa,6904696,1.12,1l,Solevita,,1.47,2.49,1.47,4304493259362,Piæe,"2,19"
Sirup malina,6904699,1.12,1l,Solevita,,1.75,2.49,1.75,4304493259393,Piæe,"2,19"
Tekuæi jogurt š. voæe,6904723,1,1kg,Pilos,1.99,,,1.99,4304493259607,Hrana,"1,89"
"Svježe pile, cca. 1,6kg",6904754,1,"cca. 1,6 kg",Naša mesnica,,2.69,3.09,2.69,2868400000000,Hrana,"3,09"
BO Pizza trokut sir-šunka,6904765,0.15,150g,,1.39,,,9.27,5999006980612,Hrana,"1,39"
Šampon Kopriva,6904774,1.032,1l,-,0.85,,,0.85,4056489074540,Kozmetika,"0,85"
Pivac Dimljena Špic rebra cca. 800g,6908923,1,1kg,,5.69,,,5.69,2102186000000,Hrana,"5,69"
Finish Tabs Ultimate Plus limun,6908924,1.53,110komad,,21.99,,,0.2,5908252011032,Sredstva za èišæenje,"18,49"
Jameson Whiskey 40% + 2 èaše gratis,6908978,0.7,"0,7l",,21.99,,,31.41,5011007004446,Piæe,"21,49"
Sirup od ribiza i jabuke,6908981,0.7,"0,7l",Hatherwood,3.08,,,4.4,4056489926719,Piæe,Nije_bilo_u_prodaji_02.05.2025
Moj Kruh Baguette kruh SK1,6908983,0.26,260g,,1.39,,,5.35,3859892992668,Hrana,"0,99"
"Jaja, razred M, 10kom.",6908999,0.058,10komad,,2.45,,,0.25,20156299,Hrana,"2,39"
"Jaja, razred M, 10kom.",6908999,0.058,10komad,,2.45,,,0.25,4027949300004,Hrana,"2,39"
"Jaja, razred L, 10kom.",6909000,0.068,10komad,,2.89,,,0.29,4056489612506,Hrana,"2,59"
Gallo Riža Originario,6909009,1,1kg,,2.79,,,2.79,8001420001594,Hrana,"2,99"
Proteini.si Oat Cake Toffee Caramel,6909021,0.06,60g,,0.95,,,15.83,3830084724045,Hrana,"0,99"
Podravka Bijeli grah (OM 460g),6909043,0.46,800g,,1.65,,,2.06,3850104020780,Hrana,"1,65"
Di-Go XXL Svježi kvasac,6909055,0.084,2x42g,,0.99,,,11.79,5900269202144,Hrana,"0,79"
Oshee Vitaminska voda magnezij,6909136,0.555,555ml,,1.25,,,2.25,5908260250515,Piæe,Nije_bilo_u_prodaji_02.05.2025
"Pileæa gril kobasica, 500g",6909148,0.5,500g,,2.59,,,5.18,4335619246324,Hrana,Nije_bilo_u_prodaji_02.05.2025
Jaja razred M,6909151,1.8,30komad,,4.59,,,0.15,3859889611152,Hrana,"4,59"
Raid Sprej protiv osa i stršljana,6909222,0.406,400ml,,4.39,,,10.98,5000204252583,Proizvodi za kuæanstvo,"4,39"
Lino Lada Duo èaša,6909238,0.2,200g,,1.99,,,9.95,3850104019777,Hrana,Nije_bilo_u_prodaji_02.05.2025
