NAZIV,SIFRA,MARKA,NETO_KOLICINA,JED_MJERE,MPC,CIJENA_PO_MJERI,POSEBNA_PRODAJA,NAJNIZA_30_DANA,SIDRENA_02_05,BARKOD,KATEGORIJA
"150ML SAITAKU RIŽIN OCAT",174811,"SAITAKU",".15 L","L",2.31,15.4,,2.31,2.25,5060194790014,"hrana"
"500ML OTAFUKU RIŽA/OCAT OD ŽIT",235084,"OTAFUKU",".5 L","L",4.81,9.62,,4.81,4.44,4970077194338,"hrana"
"1L MC RIŽIN OCAT 5%",265451,"METRO CHEF","1 L","L",3.01,3.01,,3.01,3.01,4337182265597,"hrana"
"5L MC RIŽIN OCAT 5%",265452,"METRO CHEF","5 L","L",10,2,,10,10,4337182233244,"hrana"
"500ML TORRIONE DUCALE ACETO BA",10697,"CARANDINI",".5 L","L",4.2,7.82,,4.2,3.81,8014347000090,"hrana"
"0.5L DUOMO OCAT ZAČINSKI",26888,"DUOMO",".5 L","L",3.39,6.31,,3.39,3.33,8014347000465,"hrana"
"1L TORRIONE DUCALE ACETO BALSA",47494,"CARANDINI","1 L","L",6.13,5.71,,6.13,6.13,8014347000106,"hrana"
"1L TORRIONE DUCALE ACETO BALSA",266066,"CARANDINI","6 L","L",36.75,5.7,,36.75,36.75,8014347106723,"hrana"
"250ML TORRI.DUCALE OCAT ZAČINS",54061,"CARANDINI",".25 L","L",3.41,12.72,,3.41,3.41,8014347000076,"hrana"
"250ML ACETO BALSAMICO U KREMI",131698,"CARANDINI",".25 L","L",3.46,12.91,,3.46,3.46,8014347006801,"hrana"
"250ML ACETO BALSAMICO U KREMI",260353,"CARANDINI","3 L","L",41.55,12.92,,41.55,41.55,8014347006542,"hrana"
"1L MC ACETO BALSAMICO MODENA",151424,"METRO CHEF","1 L","L",4.06,3.78,,4.06,4.06,4337182233381,"hrana"
"1L MC ACETO BALSAMICO MODENA",260434,"METRO CHEF","6 L","L",24.38,3.78,,24.38,24.38,4337182233398,"hrana"
"5L MC ACETO BALSAMICO MODENA",153683,"METRO CHEF","5 L","L",13.36,2.49,,13.36,13.36,4337182233404,"hrana"
"5L MC ACETO BALSAMICO MODENA",266079,"METRO CHEF","10 L","L",26.73,2.49,,26.73,26.73,4337182233411,"hrana"
"250ML AC. BALS. KREMA PES.VER",156068,"CARANDINI",".25 L","L",4.99,18.62,4.99,4.99,6.48,8014347002650,"hrana"
"250ML AC. BALS. KREMA ŠUM.VOĆ",156070,"CARANDINI",".25 L","L",6.51,24.29,,6.51,5.93,8014347006825,"hrana"
"500ML MC ACETO BALSAMICO MODEN",172020,"METRO CHEF",".5 L","L",1.93,3.57,,1.93,1.93,4337182106111,"hrana"
"250ML MC ACETO BALSAM.SPREJ",172033,"METRO CHEF",".25 L","L",2.3,8.58,,2.3,2.3,4337182106319,"hrana"
"250ML MC ACETO BALS.KREMA MODE",177540,"METRO CHEF",".25 L","L",2.33,7.33,,2.33,2.33,4337182071716,"hrana"
"250ML MC ACETO BALS.KREMA MODE",260435,"METRO CHEF","3 L","L",27.9,7.31,,27.9,27.9,4337182071723,"hrana"
"250ML KOTANYI AC. KREMA NARAN",197338,"KOTANYI",".25 L","L",7.3,23.32,,7.3,7.3,9001414022627,"hrana"
"250ML KOTANYI AC. KREMA Š.VOĆE",197337,"KOTANYI",".25 L","L",7.3,23.32,,7.3,7.3,9001414022610,"hrana"
"500ML KOTANYI ACETO KREMA",197339,"KOTANYI",".5 L","L",10.44,20.88,,10.44,10.44,9001414022597,"hrana"
"250ML PONTI BALZAMSKI OCAT MOD",203709,"PONTI",".25 L","L",3.43,13.72,,3.43,3.29,80522621,"hrana"
"250ML PONTI BALZAMSKI OCAT SPR",203710,"PONTI",".25 L","L",4.94,19.76,,4.94,4.63,8001010050582,"hrana"
"1000ML PONTI BALZAMSKI OCAT MO",203954,"PONTI","1 L","L",7.28,7.28,,7.28,7.28,8001010006213,"hrana"
"1000ML PONTI BALZAMSKI OCAT MO",266175,"PONTI","6 L","L",43.65,7.28,,43.65,43.65,8001010202103,"hrana"
"3L PONTI ACETO BALSAMICO",204431,"PONTI","3 L","L",10.88,3.63,,10.88,10.88,8001010038610,"hrana"
"250ML DUE VITTORIE BALZAMSKI O",205406,"DUE VITTORIE",".25 L","L",14.54,58.16,,14.54,14.39,8022734000103,"hrana"
"5000ML DUE VITTORIE BALZA.OCAT",233569,"DUE VITTORIE","5 L","L",20.99,4.2,,20.99,19.09,8022734000813,"hrana"
"500ML MC BALSAMICO U KREMI",246588,"METRO CHEF",".5 L","L",4.6,7.22,,4.6,4.6,4337182071358,"hrana"
"500ML MC BALSAMICO U KREMI",260458,"METRO CHEF","6 L","L",55.2,7.22,,55.2,55.2,4337182071365,"hrana"
"50G GG PERLE CRNE BALZAM OCAT",264394,"GIUSEPPE GIUSTI","50 G","KG",10.71,214.2,,10.71,10.71,8006911003545,"hrana"
"0,5L MC BALZAMSKI OCAT TARTUF",265453,"METRO CHEF",".5 L","L",4.15,6.64,,4.15,4.15,4337182174653,"hrana"
"1KG BARILLA SPAGHET 5 BEZ JAJA",16293,"BARILLA","1000 G","KG",2.98,2.98,,2.98,2.98,8076800105056,"hrana"
"1KG BARILLA SPAGHET 5 BEZ JAJA",260258,"BARILLA","12000 G","KG",35.7,2.98,,35.7,35.7,8076809073738,"hrana"
"500G BARILLA SPAGHE 5 BEZ JAJA",16294,"BARILLA","500 G","KG",1.09,2.18,,1.09,1.09,8076800195057,"hrana"
"500G BARILLA SPAGHE 5 BEZ JAJA",260264,"BARILLA","12000 G","KG",26.1,2.18,,26.1,26.1,8076809073509,"hrana"
"1KG BARILLA SPAGHET 3 BEZ JAJA",16295,"BARILLA","1000 G","KG",2.98,2.98,,2.98,2.98,8076800105032,"hrana"
"1KG BARILLA SPAGHET 3 BEZ JAJA",260266,"BARILLA","12000 G","KG",35.7,2.98,,35.7,35.7,8076809073547,"hrana"
"500G BARILLA SPAGHE 7 BEZ JAJA",16297,"BARILLA","500 G","KG",2,4,,2,1.83,8076808150072,"hrana"
"500G BARILLA FARFA 65 BEZ JAJA",16317,"BARILLA","500 G","KG",2.23,4.46,,2.23,2.23,8076808060654,"hrana"
"500G BARILLA PEN RI 73 BEZ JAJ",16321,"BARILLA","500 G","KG",1.45,2.9,,1.81,1.81,8076802085738,"hrana"
"500G BARILLA FUSIL 98 BEZ JAJA",16322,"BARILLA","500 G","KG",1.19,2.38,,1.19,1.19,8076802085981,"hrana"
"500G BARILLA FUSIL 98 BEZ JAJA",260273,"BARILLA","6000 G","KG",14.25,2.38,,14.25,14.25,8076809073073,"hrana"
"1KG BARILLA PEN RI 73 BEZ JAJA",16324,"BARILLA","1000 G","KG",2.98,2.98,,2.98,2.98,8076800105735,"hrana"
"1KG BARILLA PEN RI 73 BEZ JAJA",260274,"BARILLA","15000 G","KG",44.63,2.98,,44.63,44.63,8076809075411,"hrana"
"1KG BARILLA FUSILL 98 BEZ JAJA",16325,"BARILLA","1000 G","KG",2.98,2.98,,2.98,2.98,8076800105988,"hrana"
"1KG BARILLA FUSILL 98 BEZ JAJA",260275,"BARILLA","12000 G","KG",35.7,2.98,,35.7,35.7,8076809073097,"hrana"
"500G BARILLA SPAGHE 3 BEZ JAJA",43648,"BARILLA","500 G","KG",1.81,3.62,,1.81,1.81,8076800195033,"hrana"
"500G BARILLA SPAGHE 3 BEZ JAJA",260286,"BARILLA","12000 G","KG",43.5,3.63,,43.5,43.5,8076809073684,"hrana"
"500G BARILLA TAGLIATEL BEZ JAJ",43654,"BARILLA","500 G","KG",2.69,5.38,,2.69,2.69,8076809523714,"hrana"
"500G BARILLA TAGLIATEL BEZ JAJ",260289,"BARILLA","6000 G","KG",32.25,5.38,,32.25,32.25,8076809035736,"hrana"
"500G BARILLA BUCATI 9 BEZ JAJA",46150,"BARILLA","500 G","KG",2.75,5.5,,2.75,2.5,8076800315097,"hrana"
"500G BARILLA BA LIN 13 BEZ JAJ",46155,"BARILLA","500 G","KG",1.73,3.46,,1.73,1.73,8076800195132,"hrana"
"500G BARILLA BA LIN 13 BEZ JAJ",260292,"BARILLA","12000 G","KG",41.4,3.45,,41.4,41.4,8076809073745,"hrana"
"500G BARILLA PI RIG 91 BEZ JAJ",46156,"BARILLA","500 G","KG",1.89,3.78,,1.89,1.71,8076802085912,"hrana"
"5KG BARILLA SPAGHET 5 BEZ JAJA",47084,"BARILLA","5000 G","KG",13.63,2.73,,13.63,13.63,8076800035056,"hrana"
"5KG BARILLA FUSILL 98 BEZ JAJA",47094,"BARILLA","5000 G","KG",13.63,2.73,,13.63,13.63,8076800035988,"hrana"
"6KG BARILLA TAGLIATELL BEZ JAJ",47096,"BARILLA","6000 G","KG",28.75,4.79,,28.75,28.75,8076809523875,"hrana"
"500G BARILLA MIN PEN R BEZ JAJ",69579,"BARILLA","500 G","KG",1.88,3.76,,2.34,2.13,8076809521581,"hrana"
"500G BARILLA MIN PIP R BEZ JAJ",69580,"BARILLA","500 G","KG",2.34,4.68,,2.34,2.13,8076809523523,"hrana"
"5KG BARILLA PEN RIG 73 BEZ JAJ",71615,"BARILLA","5000 G","KG",13.63,2.73,,13.63,13.63,8076800035735,"hrana"
"5KG BARILLA SPAGHET 3 BEZ JAJA",71621,"BARILLA","5000 G","KG",13.63,2.73,,13.63,13.63,8076800035032,"hrana"
"500G BARILLA FETTUCCIN BEZ JAJ",88412,"BARILLA","500 G","KG",2.83,5.66,,3.53,3.36,8076809523776,"hrana"
"5KG ARO VIJAK BEZ JAJA",187697,"ARO","5000 G","KG",8.13,1.63,,8.13,8.13,3858889625053,"hrana"
"5KG ARO MAKARONI BEZ JAJA",187698,"ARO","5000 G","KG",8.13,1.63,,8.13,8.13,3858889625077,"hrana"
"5KG ARO PUŽIĆ BEZ JAJA",187699,"ARO","5000 G","KG",8.13,1.63,,8.13,8.13,3858889625060,"hrana"
"500G KLARA M. ŠURLE BEZ JAJA",188550,"KLARA MARIC","500 G","KG",3,6,,3,3,3859888499164,"hrana"
"5KG MC FARFALLE BEZ JAJA",207081,"METRO CHEF","5000 G","KG",8.75,1.75,,8.75,8.75,4337182038139,"hrana"
"5KG MC SPAGHETTI BEZ JAJA",207083,"METRO CHEF","5000 G","KG",8.75,1.75,,8.75,8.75,4337182254201,"hrana"
"5KG MC PENNE RIGATE BEZ JAJA",207085,"METRO CHEF","5000 G","KG",8.75,1.75,,8.75,8.75,4337182254263,"hrana"
"5KG MC TORTIGLIONI BEZ JAJA",207086,"METRO CHEF","5000 G","KG",8.13,1.63,,8.13,8.13,4337182088349,"hrana"
"5KG MC FUSILLI BEZ JAJA",207087,"METRO CHEF","5000 G","KG",8.75,1.75,,8.75,8.75,4337182254249,"hrana"
"5KG MC FUSILLI TRICOL BEZ JAJA",207088,"METRO CHEF","5000 G","KG",10,2,,10,10,4337182038177,"hrana"
"1KG MC LASAGNE BEZ JAJA",207089,"METRO CHEF","1000 G","KG",4.63,4.63,,4.63,4.63,4337182257097,"hrana"
"1KG MC LASAGNE BEZ JAJA",260436,"METRO CHEF","9000 G","KG",41.63,4.63,,41.63,41.63,4337182257103,"hrana"
"1KG MC FARFALLE BEZ JAJA",207090,"METRO CHEF","1000 G","KG",2.38,2.38,,2.38,2.38,4337182230007,"hrana"
"1KG MC SPAGHETTI BEZ JAJA",207092,"METRO CHEF","1000 G","KG",2.38,2.38,,2.38,2.38,4337182230212,"hrana"
"1KG MC SPAGHETTI BEZ JAJA",266230,"METRO CHEF","12000 G","KG",26.25,2.19,26.25,26.25,26.25,4337182143574,"hrana"
"1KG MC SPAGHETTI BEZ JAJA",268401,"METRO CHEF","10000 G","KG",23.75,2.38,,23.75,23.75,4337182233091,"hrana"
"1KG MC PENNE RIGATE BEZ JAJA",207094,"METRO CHEF","1000 G","KG",2.19,2.19,,2.19,2.19,4337182229971,"hrana"
"1KG MC TORTIGLIONI BEZ JAJA",207095,"METRO CHEF","1000 G","KG",2.69,2.69,,2.69,2.69,4337182229988,"hrana"
"1KG MC FUSILLI BEZ JAJA",207096,"METRO CHEF","1000 G","KG",2.38,2.38,,2.38,2.38,4337182229995,"hrana"
"1KG MC TAGLIATELLE BEZ JAJA",207097,"METRO CHEF","1000 G","KG",3.18,3.18,,3.18,3.18,4337182230274,"hrana"
"1KG MC TAGLIATELLE BEZ JAJA",260438,"METRO CHEF","5000 G","KG",15.88,3.18,,15.88,15.88,4337182230281,"hrana"
"1KG MC LINGUINE BEZ JAJA",207101,"METRO CHEF","1000 G","KG",3.05,3.05,,3.05,3.05,4337182230229,"hrana"
"1KG MC LINGUINE BEZ JAJA",266232,"METRO CHEF","12000 G","KG",36.6,3.05,36.6,36.6,36.6,4337182038078,"hrana"
"1KG MC LINGUINE BEZ JAJA",268938,"METRO CHEF","10000 G","KG",30.5,3.05,,30.5,30.5,4337182233084,"hrana"
"1KG MC SPAGHETTINI BEZ JAJA",207115,"METRO CHEF","1000 G","KG",2.38,2.38,,2.38,2.38,4337182230205,"hrana"
"400G MARODI CHIFF RIG BEZ JAJA",222220,"MARODI","400 G","KG",1.39,3.48,,1.39,1.39,3859888666054,"hrana"
"400G MARODI CHIFF RIG BEZ JAJA",266241,"MARODI","4800 G","KG",16.65,3.47,,16.65,16.65,3859893385919,"hrana"
"400G MARODI FUSILLI BEZ JAJA",222231,"MARODI","400 G","KG",1.81,4.53,,1.81,1.81,3859888666085,"hrana"
"400G MARODI MAFAL COR BEZ JAJA",222232,"MARODI","400 G","KG",1.54,3.85,,1.54,1.54,3859888666047,"hrana"
"400G MARODI PENNE RIG BEZ JAJA",222233,"MARODI","400 G","KG",.95,2.38,,.95,.95,3859888666382,"hrana"
"400G MARODI SPAGHETTI BEZ JAJA",222234,"MARODI","400 G","KG",1.81,4.53,,1.81,1.81,3859888666399,"hrana"
"400G MARODI SPAGHETTI BEZ JAJA",266242,"MARODI","9600 G","KG",43.5,4.53,,43.5,43.5,3859893385742,"hrana"
"1KG ARO MAKARONI BEZ JAJA",230726,"ARO","1000 G","KG",1.88,1.88,,1.88,1.88,3858889625039,"hrana"
"1KG ARO MAKARONI BEZ JAJA",230727,"ARO","9000 G","KG",16.88,1.88,,16.88,16.88,3858889625916,"hrana"
"1KG ARO PUŽIĆ BEZ JAJA",230730,"ARO","1000 G","KG",1.88,1.88,,1.88,1.88,3858889625022,"hrana"
"1KG ARO PUŽIĆ BEZ JAJA",230731,"ARO","9000 G","KG",16.88,1.88,,16.88,16.88,3858889625909,"hrana"
"1KG ARO VIJAK BEZ JAJA",231967,"ARO","1000 G","KG",1.88,1.88,,1.88,1.88,3858889625015,"hrana"
"1KG ARO VIJAK BEZ JAJA",231968,"ARO","9000 G","KG",16.88,1.88,,16.88,16.88,3858889625893,"hrana"
"500G ARO TJEST PUŽIĆ BEZ JAJA",232310,"ARO","500 G","KG",1,2,,1,1,3858889624988,"hrana"
"500G ARO TJEST PUŽIĆ BEZ JAJA",232311,"ARO","10000 G","KG",20,2,,20,20,3858889625862,"hrana"
"500G ARO TJES MAKARON BEZ JAJA",236144,"ARO","500 G","KG",1,2,,1,1,3858889624995,"hrana"
"500G ARO TJES MAKARON BEZ JAJA",236146,"ARO","10000 G","KG",20,2,,20,20,3858889625879,"hrana"
"500G ARO TJEST VIJAK BEZ JAJA",236145,"ARO","500 G","KG",1,2,,1,1,3858889624971,"hrana"
"500G ARO TJEST VIJAK BEZ JAJA",236147,"ARO","10000 G","KG",20,2,,20,20,3858889625855,"hrana"
"5KG BARILLA FARFAL 65 BEZ JAJA",238024,"BARILLA","5000 G","KG",16.29,3.26,,16.29,16.29,8076800035650,"hrana"
"500G MC PENNE RIGATE BEZ JAJA",239327,"METRO CHEF","500 G","KG",1.13,2.26,,1.13,1.13,4337182087724,"hrana"
"500G MC FUSILLI BEZ JAJA",239328,"METRO CHEF","500 G","KG",1.13,2.26,,1.13,1.13,4337182180210,"hrana"
"5KG MC LINGUINE BEZ JAJA",241636,"METRO CHEF","5000 G","KG",9.88,1.98,,9.88,9.88,4337182254225,"hrana"
"5KG ARO SPAGHETTI BEZ JAJA",250715,"ARO","5000 G","KG",8.13,1.63,,8.13,8.13,4337182038184,"hrana"
"500G BARILLA TJES TROF BEZ JAJ",251522,"BARILLA","500 G","KG",3.11,6.22,,3.11,3.11,8076809537711,"hrana"
"400G MARODI SRED PUŽI BEZ JAJA",255134,"MARODI","400 G","KG",1.51,3.78,,1.51,1.51,3859888666061,"hrana"
"400G MARODI SPAGHET N3 BEZ JAJ",255284,"MARODI","400 G","KG",1.51,3.78,,1.51,1.51,3859893944185,"hrana"
"500G ARO SPAGHETTI BEZ JAJA",257307,"ARO","500 G","KG",.94,1.88,,.94,.94,4337182176008,"hrana"
"3KG MC LASAGNE GASTRO BEZ JAJA",264097,"METRO CHEF","3000 G","KG",11.25,3.75,,11.25,11.25,4337182204640,"hrana"
"3KG RUMMO SPAGHETTI 3 BEZ JAJA",265610,"RUMMO","3000 G","KG",10.91,3.64,,12.13,12.13,8008343240031,"hrana"
"3KG RUMMO LINGUINE 13 BEZ JAJA",265611,"RUMMO","3000 G","KG",10.91,3.64,,12.13,12.13,8008343240130,"hrana"
"3KG RUMMO PENNE RI 66 BEZ JAJA",265612,"RUMMO","3000 G","KG",10.91,3.64,,12.13,12.13,8008343240666,"hrana"
"3KG RUMMO FUSILLI 48 BEZ JAJA",265613,"RUMMO","3000 G","KG",10.91,3.64,,13.93,13.34,8008343240482,"hrana"
"1KG MARODI CHIFFE RIGATI",265619,"MARODI","1000 G","KG",3.4,3.4,,3.4,3.4,3859893944734,"hrana"
"250G RUMMO CANNEL 176 S JAJIMA",265618,"RUMMO","250 G","KG",2.44,9.76,,2.44,2.44,8008343221764,"hrana"
"1KG MARODI FUSILLI",265622,"MARODI","1000 G","KG",3.5,3.5,,3.5,3.5,3859893944710,"hrana"
"1KG MARODI PENNE RIGATE",265620,"MARODI","1000 G","KG",3.5,3.5,,3.5,3.5,3859893944758,"hrana"
"1KG MARODI MAFALDI CORTE",265621,"MARODI","1000 G","KG",3.4,3.4,,3.4,3.4,3859893944741,"hrana"
"500G RUMMO PACCHERI N.111",267983,"RUMMO","500 G","KG",3.36,6.72,,3.36,3.36,8008343201117,"hrana"
"500G BARILLA LINGUINE ALBRONZO",271999,"BARILLA","500 G","KG",2.24,4.48,,2.24,,8076809585231,"hrana"
"500G BARILLA FUSILLONI ALBRONZO",272000,"BARILLA","500 G","KG",2.24,4.48,,2.24,,8076809585217,"hrana"
"500G BARILLA RIGATONI ALBRONZO",272001,"BARILLA","500 G","KG",2.24,4.48,,2.24,,8076809585224,"hrana"
"250G GO TAN TJESTE PŠ BEZ JAJA",184350,"GO TAN","250 G","KG",3.19,12.76,,3.19,3.19,8710605091984,"hrana"
"400G ZEBRANO ZAGORSKI MLINCI",228653,"ZEBRANO","400 G","KG",2.81,7.03,,2.81,2.81,3859892428075,"hrana"
"400G ZEBRANO ZAGORSKI MLINCI",260473,"ZEBRANO","4000 G","KG",26.5,6.63,26.5,26.5,26.5,3859892428136,"hrana"
"400G ZEBRANO ZAGORSKI MLINCI",265729,"ZEBRANO","5600 G","KG",39.38,7.03,,39.38,39.38,3859892428044,"hrana"
"6KG GO-TAN TJESTEN PŠ BEZ JAJA",262020,"GO TAN","6000 G","KG",45.03,7.51,,45.03,45.03,8710605091991,"hrana"
"400G SCOTTI SPAGH VEN BEZ JAJA",262444,"RISO SCOTTI","400 G","KG",1.93,4.83,1.93,1.93,1.93,8001860185144,"hrana"
"400G SCOTTI FUSIL VEN BEZ JAJA",262445,"RISO SCOTTI","400 G","KG",1.93,4.83,1.93,1.93,1.93,8001860184833,"hrana"
"400G SCOTTI PENNE VEN BEZ JAJA",262446,"RISO SCOTTI","400 G","KG",1.93,4.83,1.93,1.93,1.93,8001860184819,"hrana"
"6KG ZEBRANO ZAGORSKI MLINCI",265890,"ZEBRANO","6000 G","KG",36.06,6.01,,36.06,36.06,3859892428211,"hrana"
"4KG MC MLINCI DOMAĆI BEZ JAJA",270205,"METRO CHEF","4000 G","KG",13.13,3.28,,13.13,13.13,3856024711722,"hrana"
"250G KLARA MLINCI S JAJIMA",3741,"KLARA","250 G","KG",1.91,7.64,,1.91,1.91,3858881323025,"hrana"
"500G BARILLA LASAGNE 199 S JAJ",16331,"BARILLA","500 G","KG",3.28,6.56,,3.28,3.28,8076800376999,"hrana"
"500G BARILLA LASAGNE 199 S JAJ",260276,"BARILLA","7500 G","KG",49.13,6.55,,49.13,49.13,8076809037143,"hrana"
"500G KOGUTEX MLINC DOM BEZ JAJ",64705,"KOGUTEX","500 G","KG",3,6,,3,3,3859891148028,"hrana"
"500G KOGUTEX MLINC DOM BEZ JAJ",260500,"KOGUTEX","6000 G","KG",36,6,,36,36,2606470501023,"hrana"
"400G MARODI USKI REZ JAJIMA/MR",156492,"MARODI","400 G","KG",2.15,5.38,,2.15,2.15,3859888666214,"hrana"
"400G MARODI USKI REZ JAJIMA/MR",260463,"MARODI","3200 G","KG",17.2,5.38,,17.2,17.2,3859893385766,"hrana"
"400G MARODI USK.REZ.S JAJ",156494,"MARODI","400 G","KG",2.04,5.1,,2.04,2.04,3859888666009,"hrana"
"400G MARODI USK.REZ.S JAJ",260464,"MARODI","3200 G","KG",16.3,5.09,,16.3,16.3,3859893385827,"hrana"
"400G MARODI VALOVITI REZ S JAJ",156497,"MARODI","400 G","KG",2.04,5.1,,2.04,2.04,3859888666221,"hrana"
"400G MARODI VALOVITI REZ S JAJ",260465,"MARODI","3200 G","KG",16.3,5.09,,16.3,16.3,3859893385797,"hrana"
"400G MARODI ŠIROKI REZ S JAJIM",156498,"MARODI","400 G","KG",2.04,5.1,,2.04,2.04,3859888666023,"hrana"
"400G MARODI ŠIROKI REZ S JAJIM",260495,"MARODI","3200 G","KG",16.3,5.09,,16.3,16.3,3859893385810,"hrana"
"400G MARODI RIBANA KAŠ.JAJA/MR",156499,"MARODI","400 G","KG",2.14,5.35,,2.14,2.14,3859888666238,"hrana"
"400G MARODI RIBANA KAŠ S JAJIM",156501,"MARODI","400 G","KG",2.04,5.1,,2.04,2.04,3859888666092,"hrana"
"400G MARODI RIBANA KAŠ S JAJIM",260512,"MARODI","4800 G","KG",24.45,5.09,,24.45,24.45,3859893385803,"hrana"
"400G MARODI MALE KRPICE S JAJ",156507,"MARODI","400 G","KG",2.19,5.48,,2.19,2.19,3859888666030,"hrana"
"400G MARODI MALE KRPICE S JAJ",266081,"MARODI","4800 G","KG",26.25,5.47,,26.25,26.25,3859893385834,"hrana"
"400G MARODI VEL. KRPICE S JAJIM",156508,"MARODI","400 G","KG",2.14,5.35,,2.14,2.14,3859888666283,"hrana"
"400G MARODI DOM USKI REZ S JAJ",159242,"MARODI","400 G","KG",1.96,4.9,,1.96,1.96,3859888666016,"hrana"
"400G MARODI DOM USKI REZ S JAJ",260516,"MARODI","3200 G","KG",15.7,4.91,,15.7,15.7,3859893385865,"hrana"
"500G KLARA M.LAZ ŠI TAGL S JAJ",188544,"KLARA MARIC","500 G","KG",4,8,,4,4,3859888499027,"hrana"
"500G KLARA M. LAZAN/TAGL S JAJ",188546,"KLARA MARIC","500 G","KG",4.38,8.76,,4.38,4.38,3859888499249,"hrana"
"500G KLARA M. DOM IST FUŽ JAJA",188547,"KLARA MARIC","500 G","KG",3.63,7.26,,3.63,3.63,3859888499874,"hrana"
"500G KLARA M. DOM IST FUŽ JAJA",235287,"KLARA MARIC","5000 G","KG",36.25,7.25,,36.25,36.25,3859888499478,"hrana"
"500G KLARA M. DOM.LAZ/ZEL JAJA",188548,"KLARA MARIC","500 G","KG",4.5,9,,4.5,4.5,3859888499119,"hrana"
"500G KLARA M. DOM.LAZ/ZEL JAJA",260355,"KLARA MARIC","5000 G","KG",45,9,,45,45,3859888499317,"hrana"
"500G MC LASAGNE S JAJIMA",233020,"METRO CHEF","500 G","KG",2.75,5.5,,2.75,2.75,4337182205005,"hrana"
"500G MC TAGLIATELLE S JAJIMA",233021,"METRO CHEF","500 G","KG",2.63,5.26,,2.63,2.63,4337182205043,"hrana"
"400G KLARA M. ŠIR REZANC S JAJ",248153,"KLARA MARIC","400 G","KG",2.26,5.65,2.26,2.26,2.26,3859893308185,"hrana"
"400G KLARA M. FIDEL JUH S JAJ",248157,"KLARA MARIC","400 G","KG",3.03,7.58,,3.03,2.99,3859893308178,"hrana"
"400G KLARA M. REZAN JUHA S JAJ",248159,"KLARA MARIC","400 G","KG",3.29,8.23,,3.29,2.99,3859893308161,"hrana"
"250G KLARA M.TAG CRN SIP S JAJ",248162,"KLARA MARIC","250 G","KG",3.55,14.2,,3.55,3.55,3859888499126,"hrana"
"400G KLARA M.FUŽ CRN SIP S JAJ",248163,"KLARA MARIC","400 G","KG",4.34,10.85,,4.34,3.96,3859888499393,"hrana"
"400G KLARA M.FUŽ CHIL PA S JAJ",248166,"KLARA MARIC","400 G","KG",4.34,10.85,,4.34,3.96,3859888499409,"hrana"
"500G ARO MLINCI S JAJIMA",249104,"ARO","500 G","KG",2.25,4.5,,2.25,2.25,3856024703031,"hrana"
"500G ARO MLINCI S JAJIMA",249105,"ARO","10000 G","KG",45,4.5,,45,45,3856024703048,"hrana"
"400G MARODI ZVJEZDICE JAJ/MRK",254635,"MARODI","400 G","KG",2.56,6.4,,2.56,2.56,3859888666771,"hrana"
"400G MARODI SLOVA SVJ JAJA/MRK",254641,"MARODI","400 G","KG",2.56,6.4,,2.56,2.56,3859888666757,"hrana"
"1KG MC MALE KRPICE S JAJIMA",262705,"METRO CHEF","1000 G","KG",3.84,3.84,,3.84,3.84,3856024707565,"hrana"
"1KG MC ŠIROKI REZANCI S JAJIMA",262706,"METRO CHEF","1000 G","KG",3.75,3.75,,3.75,3.75,3856024707589,"hrana"
"1KG MC USKI REZANCI S JAJIMA",262707,"METRO CHEF","1000 G","KG",3.99,3.99,,3.99,3.99,3856024707596,"hrana"
"1KG MC RIBANA KAŠA S JAJIMA",262708,"METRO CHEF","1000 G","KG",3.99,3.99,,3.99,3.99,3856024707602,"hrana"
"500G KLARA M. TAGLIATE 5 S JAJ",262919,"KLARA MARIC","500 G","KG",3.99,7.98,,3.99,3.99,3859888499010,"hrana"
"400G MARODI FETTUCCINE S JAJ",264632,"MARODI","400 G","KG",2.86,7.15,,2.86,2.86,3859893944369,"hrana"
"400G MARODI TAGLIATELLE S JAJ",264633,"MARODI","400 G","KG",2.99,7.48,,2.99,2.99,3859893944352,"hrana"
"1KG MARODI FUŽI S JAJIMA",265624,"MARODI","1000 G","KG",5.58,5.58,,5.58,5.58,3859893944444,"hrana"
"250G MARODI TAGLIAT.SPIRULINA",270625,"MARODI","250 G","KG",3.14,12.56,,3.69,3.69,3859894191120,"hrana"
"250G MARODI TAGLIAT.KLORELA",270626,"MARODI","250 G","KG",3.14,12.56,,3.69,3.69,3859894191137,"hrana"
"250G MARODI TAGLIAT.SIPA",270627,"MARODI","250 G","KG",3.14,12.56,,3.69,3.69,3859894191144,"hrana"
"250G MARODI TAGLIAT.CIKLA",270628,"MARODI","250 G","KG",3.14,12.56,,3.69,3.69,3859894191151,"hrana"
"500G BARILLA INTE SPAG BEZ JAJ",88415,"BARILLA","500 G","KG",2.28,4.56,,2.28,2.06,8076809529419,"hrana"
"500G BARILLA INTE PENE BEZ JAJ",88416,"BARILLA","500 G","KG",2.75,5.5,,2.75,2.5,8076809529433,"hrana"
"500G BARILLA INTE FUSI BEZ JAJ",88417,"BARILLA","500 G","KG",2.61,5.22,,2.61,2.38,8076809529457,"hrana"
"500G RUMMO ORZO PŠENIČ.",270501,"RUMMO","500 G","KG",2.43,4.86,,2.43,2.43,8008343200271,"hrana"
"500G BARILLA TAGL ŠPI BEZ JAJA",16335,"BARILLA","500 G","KG",2.69,5.38,,2.69,2.69,8076809523721,"hrana"
