NAZIV,SIFRA,MARKA,NETO_KOLICINA,JED_MJERE,MPC,CIJENA_PO_MJERI,POSEBNA_PRODAJA,NAJNIZA_30_DANA,SIDRENA_02_05,BARKOD,KATEGORIJA
"650ML SUPER JON ANTISTATIC",211846,"SUPER JON",".65 L","L",1.86,2.86,,1.86,1.86,3850111503375,"sredstva za čišćenje"
"650ML SUPER JON ALOE VERA",262598,"SUPER JON",".65 L","L",1.86,2.86,,1.86,1.86,3850111505645,"sredstva za čišćenje"
"650ML SUPER JON  KUHINJA",211849,"SUPER JON",".65 L","L",2.71,4.17,,2.71,2.71,3850111503436,"sredstva za čišćenje"
"1L SUPER JON UNIVERSAL JORGOV",211851,"SUPER JON","1 L","L",3.24,3.22,,3.24,3.24,3850111503429,"sredstva za čišćenje"
"1L SUPER JON UNIVERSAL ĐURĐICA",211850,"SUPER JON","1 L","L",3.24,3.22,,3.24,3.24,3850111503412,"sredstva za čišćenje"
"1000ML SOLNA KISELINA 19%",212276,"METEOR","1 L","L",1.7,1.55,,1.79,1.79,3859888110199,"sredstva za čišćenje"
"1L CEKINA VARIKINA ZA IZBJELJ.",212277,"CEKINA","1 L","L",1.45,1.45,,1.45,1.63,3859888110168,"sredstva za čišćenje"
"1L CEKINA VARIKINA ZA IZBJELJ.",261028,"CEKINA","12 L","L",17.4,1.45,,17.4,19.5,3859890222019,"sredstva za čišćenje"
"650ML PERMETAL ODMAŠČIVAČ UNIV",217733,"PERMETAL",".65 L","L",4.86,7.48,,4.86,4.86,3850111119842,"sredstva za čišćenje"
"72/1 ARO UNIV MARAM ČIŠĆ 3+1",231665,"ARO","1435 G","KG",4.46,3.11,,4.46,4.46,5944508133448,"sredstva za čišćenje"
"750ML ARO SREDS ZA ČIŠĆ STAKLA",242583,"ARO",".75 L","L",1.14,1.52,,1.14,1.14,3856024700993,"sredstva za čišćenje"
"1L ARO UNIV SREDSTVO ZA ČIŠĆ",242585,"ARO","1 L","L",1.38,1.38,,1.38,1.38,3856024701013,"sredstva za čišćenje"
"1L ARO UNIV SREDSTVO ZA ČIŠĆ",260327,"ARO","12 L","L",16.5,1.38,,16.5,16.5,3856024701044,"sredstva za čišćenje"
"500ML SANYTOL SR.ZA ČIŠĆ DEZ",250605,"SANYTOL",".5 L","L",3.28,6.56,,3.28,2.98,3045200700005,"sredstva za čišćenje"
"1L SANYTOL SR.ZA ČIŠĆ.DEZ.POVR",250606,"SANYTOL","1 L","L",3.42,3.42,,3.42,3.26,3045206312202,"sredstva za čišćenje"
"36/1 SANYTOL VIŠEN. VL.MARAM",250607,"SANYTOL","15 G","KG",3.51,234,,3.51,3.51,8411660000224,"sredstva za čišćenje"
"1L AJAX  HIBISCUS FDF",250787,"AJAX","1 L","L",3.7,3.69,,3.7,3.7,8718951336681,"sredstva za čišćenje"
"1L SANYTOL SR.ČIŠĆ.DEZ.POD.LIM",254331,"SANYTOL","1000 G","KG",3.76,3.76,,3.76,3.76,3045206312226,"sredstva za čišćenje"
"500ML SANYTOL SR.ČIŠ.DEZ.GREJP",254332,"SANYTOL",".5 L","L",3.58,7.16,,3.58,3.58,3045206312066,"sredstva za čišćenje"
"750ML CHANTECL UNI ODMAŠ LIMUN",255850,"CHANTECLAIR",".75 L","L",4.29,5.72,,4.29,3.95,8015194525149,"sredstva za čišćenje"
"650ML ARF STAKLO ANTISTATIC",256449,"ARF",".65 L","L",1.59,2.45,,1.68,1.68,3850105181107,"sredstva za čišćenje"
"650ML ARF STAKLO ANTISTATIC",258466,"ARF","7.8 L","L",19.05,2.44,,20.1,20.1,3850105181114,"sredstva za čišćenje"
"650ML ARF STAKLO CITRUS",257156,"ARF",".65 L","L",2.49,3.83,,2.49,2.49,3850105181077,"sredstva za čišćenje"
"650ML ARF STAKLO",257157,"ARF",".65 L","L",2.49,3.83,,2.49,2.49,3850105181015,"sredstva za čišćenje"
"650ML ARF STAKLO LAV.I SMILJE",257158,"ARF",".65 L","L",2.83,4.35,,2.83,2.83,3850105181138,"sredstva za čišćenje"
"650ML ARF BLIC ZA INOX",257286,"ARF",".65 L","L",3.33,5.12,,3.33,3.33,3850105181251,"sredstva za čišćenje"
"1L AJAX UNI SREDSTVO S MIRISOM",258334,"AJAX","1 L","L",3.76,3.76,,3.76,3.69,8718951423497,"sredstva za čišćenje"
