ID naselja,Naziv naselja,Eksterni ID naselja,ID općine,Naziv općine,Eksterni ID općine,ID županije,Naziv županije,Eksterni ID županije
45179,Oplaznik,45179,5398,Marija Gorica,5398,1,Zagrebačka,1
45187,Oporovec,45187,3557,Prelog,3557,20,Međimurska,20
45195,Oprič,45195,3026,Opatija,3026,8,Primorsko-goranska,8
45209,Oprisavci,45209,3034,Oprisavci,3034,12,Brodsko-posavska,12
45217,Opršinac,45217,469,Cernik,469,12,Brodsko-posavska,12
45225,Oprtalj,45225,3042,Oprtalj,3042,18,Istarska,18
45233,Opuzen,45233,3069,Opuzen,3069,19,Dubrovačko-neretvanska,19
45241,Orah,45241,5118,Vrgorac,5118,17,Splitsko-dalmatinska,17
45250,Orahovica,45250,3077,Orahovica,3077,10,Virovitičko-podravska,10
45268,Oraovac,45268,841,Donji Lapac,841,9,Ličko-senjska,9
45276,Orašac,45276,981,Dubrovnik,981,19,Dubrovačko-neretvanska,19
45284,Oratje,45284,2127,Krapinske Toplice,2127,2,Krapinsko-zagorska,2
45292,Oravac,45292,4553,Plitvička Jezera,4553,9,Ličko-senjska,9
45306,Orbani,45306,4316,Sveti Lovreč,4316,18,Istarska,18
45314,Orbanići,45314,2542,Marčana,2542,18,Istarska,18
45322,Orbanići,45322,5312,Žminj,5312,18,Istarska,18
45349,Ordanja,45349,2054,Koška,2054,14,Osječko-baranjska,14
45357,Orebić,45357,3085,Orebić,3085,19,Dubrovačko-neretvanska,19
45365,Orehova Gorica,45365,1252,Gornja Stubica,1252,2,Krapinsko-zagorska,2
45373,Orehovec,45373,2895,Novi Marof,2895,5,Varaždinska,5
45381,Orehovec,45381,4421,Sveti Petar Orehovec,4421,6,Koprivničko-križevačka,6
45390,Orehovec Radobojski,45390,3646,Radoboj,3646,2,Krapinsko-zagorska,2
45403,Orehovica,45403,116,Bedekovčina,116,2,Krapinsko-zagorska,2
45411,Orehovica,45411,6050,Orehovica,6050,20,Međimurska,20
45420,Orešac,45420,4243,Suhopolje,4243,10,Virovitičko-podravska,10
45438,Orešje,45438,4367,Sveta Nedelja,4367,1,Zagrebačka,1
45446,Orešje Humsko,45446,1520,Hum Na Sutli,1520,2,Krapinsko-zagorska,2
45454,Orešje Okićko,45454,1694,Jastrebarsko,1694,1,Zagrebačka,1
45462,Orič,45462,3301,Pićan,3301,18,Istarska,18
45489,Orihi,45489,60,Barban,60,18,Istarska,18
45497,Orijevac,45497,78,Barilovići,78,4,Karlovačka,4
45519,Oriovac,45519,3093,Oriovac,3093,12,Brodsko-posavska,12
45527,Oriovčić,45527,3387,Podcrkavlje,3387,12,Brodsko-posavska,12
45535,Orišje,45535,302,Bosiljevo,302,4,Karlovačka,4
45551,Orle,45551,5428,Orle,5428,1,Zagrebačka,1
45560,Orlec,45560,523,Cres,523,8,Primorsko-goranska,8
45578,Orlić,45578,3107,Orlić,3107,15,Šibensko-kninska,15
45543,Orljakovo,45543,5304,Žakanje,5304,4,Karlovačka,4
45608,Orljavac,45608,353,Brestovac,353,11,Požeško-slavonska,11
45594,Orlovac,45594,1392,Grubišno Polje,1392,7,Bjelovarsko-bilogorska,7
45586,Orlovac,45586,2879,Nova Rača,2879,7,Bjelovarsko-bilogorska,7
45616,Ornice,45616,1309,Gospić,1309,9,Ličko-senjska,9
45624,Orolik,45624,4146,Stari Jankovci,4146,16,Vukovarsko-srijemska,16
45632,Oroslavje,45632,3115,Oroslavje,3115,2,Krapinsko-zagorska,2
45659,Orovac,45659,5622,Severin,5622,7,Bjelovarsko-bilogorska,7
45667,Orubica,45667,680,Davor,680,12,Brodsko-posavska,12
45675,Osečka,45675,1562,Ivanec,1562,5,Varaždinska,5
45683,Osekovo,45683,3476,Popovača,3476,3,Sisačko-moslavačka,3
45691,Osijek,45691,3123,Osijek,3123,14,Osječko-baranjska,14
45705,Osijek Vojakovački,45705,2143,Križevci,2143,6,Koprivničko-križevačka,6
45713,Oskoruš,45713,426,Buje,426,18,Istarska,18
45721,Oskorušno,45721,3085,Orebić,3085,19,Dubrovačko-neretvanska,19
45730,Oslići,45730,477,Cerovlje,477,18,Istarska,18
45748,Osobjava,45748,5991,Janjina,5991,19,Dubrovačko-neretvanska,19
45756,Osoje,45756,728,Dicmo,728,17,Splitsko-dalmatinska,17
45764,Osojnik,45764,981,Dubrovnik,981,19,Dubrovačko-neretvanska,19
45772,Osojnik,45772,5096,Vrbovsko,5096,8,Primorsko-goranska,8
45799,Osonjak,45799,124,Bednja,124,5,Varaždinska,5
45802,Osor,45802,2526,Mali Lošinj,2526,8,Primorsko-goranska,8
45829,Osredci,45829,1317,Gračac,1317,13,Zadarska,13
45837,Osredek Desinićki,45837,701,Desinić,701,2,Krapinsko-zagorska,2
45845,Osredek Žumberački,45845,3808,Samobor,3808,1,Zagrebačka,1
45853,Ostojići,45853,1023,Dvor,1023,3,Sisačko-moslavačka,3
45861,Ostrogašica,45861,4693,Unešić,4693,15,Šibensko-kninska,15
45870,Ostrošinci,45870,3409,Podgorač,3409,14,Osječko-baranjska,14
45888,Ostrovica,45888,2348,Lišane Ostrovičke,2348,13,Zadarska,13
45896,Ostrovo,45896,6106,Markušica,6106,16,Vukovarsko-srijemska,16
45900,Ostrožin,45900,5100,Gvozd,5100,3,Sisačko-moslavačka,3
45918,Ostrvica,45918,1309,Gospić,1309,9,Ličko-senjska,9
45926,Ostrvica,45926,3000,Omiš,3000,17,Splitsko-dalmatinska,17
45934,Osunja,45934,3808,Samobor,3808,1,Zagrebačka,1
45942,Ošljak,45942,3549,Preko,3549,13,Zadarska,13
45969,Ošlje,45969,5983,Dubrovačko Primorje,5983,19,Dubrovačko-neretvanska,19
45977,Oštarije,45977,1724,Josipdol,1724,4,Karlovačka,4
45985,Oštarski Stanovi,45985,3654,Rakovica,3654,4,Karlovačka,4
46019,Oštri Vrh,46019,4189,Staro Petrovo Selo,4189,12,Brodsko-posavska,12
46027,Oštri Zid,46027,183,Berek,183,7,Bjelovarsko-bilogorska,7
46035,Oštrice,46035,2895,Novi Marof,2895,5,Varaždinska,5
46043,Oštrobradić,46043,2534,Malinska-Dubašnica,2534,8,Primorsko-goranska,8
46051,Otavice,46051,3778,Ružić,3778,15,Šibensko-kninska,15
46060,Oteš,46060,1309,Gospić,1309,9,Ličko-senjska,9
46078,Otišić,46078,5134,Vrlika,5134,17,Splitsko-dalmatinska,17
46086,Otkopi,46086,1996,Končanica,1996,7,Bjelovarsko-bilogorska,7
46094,Otočac,46094,3131,Otočac,3131,9,Ličko-senjska,9
46108,Otočka,46108,1228,Gola,1228,6,Koprivničko-križevačka,6
46124,Otok,46124,3140,Otok,3140,17,Splitsko-dalmatinska,17
46116,Otok,46116,5355,Otok (Vinkovci),5355,16,Vukovarsko-srijemska,16
46132,Otok,46132,3557,Prelog,3557,20,Međimurska,20
76031,Otok,76031,3999,Slivno,3999,19,Dubrovačko-neretvanska,19
46159,Otok Na Dobri,46159,302,Bosiljevo,302,4,Karlovačka,4
46167,Otok Nartski,46167,3760,Rugvica,3760,1,Zagrebačka,1
46175,Otok Oštarijski,46175,2976,Ogulin,2976,4,Karlovačka,4
46183,Otok Svibovski,46183,3760,Rugvica,3760,1,Zagrebačka,1
46191,Otok Virje,46191,485,Cestica,485,5,Varaždinska,5
46205,Otok-Duba,46205,3999,Slivno,3999,19,Dubrovačko-neretvanska,19
46213,Oton,46213,1139,Ervenik,1139,15,Šibensko-kninska,15
46221,Otrčkovec,46221,5509,Bedenica,5509,1,Zagrebačka,1
