Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
KEKS JAFFA 3X125 G KRAS;966350;KRAS TJEDNE NARUDZBE;0,375 KG;KOM;3,49;9,31;;;3,49;3850102016860;HRANA;
KAJZERICE BEZ GLUTENA 100 G LIVE;966367;LIVE GLUTEN/LACTOSE FREE;0,100 L;KOM;1,69;16,90;;;1,69;3856025862775;HRANA;
HAMBURGER PECIVA BEZ GLUTENA 140 G LIVE;966370;LIVE GLUTEN/LACTOSE FREE;0,140 KG;KOM;1,99;14,21;;;1,99;3856025862751;HRANA;
PECIVO S COKOLADOM 360 G LA BOULANGERE;966371;LA BOULANGERE;0,360 KG;KOM;2,49;6,92;;;3,49;3284230005913;HRANA;
GRISSINI TORINESI 200 G MULINI;966390;MULINI GRISSINI;0,200 KG;KOM;;6,45;1,29;1,79;1,79;3856025865684;HRANA;
GRISSINI S RUZMARINOM 200 G MULINI;966391;MULINI GRISSINI;0,200 KG;KOM;;6,45;1,29;1,79;1,79;3856025865646;HRANA;
GRISSINI SA SJEMENKAMA 200 G MULINI;966392;MULINI GRISSINI;;KOM;;;1,29;1,79;1,79;3856025865660;HRANA;
SIR TAPAS 150 G QUESOS EL PASTOR;966394;QUESOS EL PASTOR;0,150 KOM;KOM;3,49;23,27;;;3,49;8413376040778;HRANA;
SIR MIJESANI 3 KG DISQUESA;966396;QUESOS EL PASTOR;1 KG;KG;14,99;14,99;;;14,99;8413376010221;HRANA;
SOK HLADNO PRESANI VITAMIN BOMB 0,33 L;966397;TAKE NATURAL;0,330 L;KOM;3,69;11,18;;;3,69;3859894312334;PICE;
SOK HLADNO PRESANI RED FOREST IRON MAN 0,33 L;966398;TAKE NATURAL;0,330 L;KOM;3,69;11,18;;;3,69;3859894312297;PICE;
SOK HLADNO PRESANI GREEN DETOX 0,33 L;966399;TAKE NATURAL;0,330 L;KOM;3,69;11,18;;;3,69;3859894312273;PICE;
SOK HLADNO PRESANI FULL OF SUNSHINE 0,33 L;966452;TAKE NATURAL;0,330 L;KOM;3,69;11,18;;;3,69;3859894312235;PICE;
SIR SEMICURADO LA MERINA CCA 3 KG QUESOS REVILLA S.L.;966470;QUESOS REVILLA;1 KG;KG;;9,90;9,9;14,99;14,99;;HRANA;
KAVA ZRNO AROMA E GUSTO 1 KG CARRARO;966471;CARRARO;1 KG;KOM;13,99;13,99;;;9,99;8000604003409;HRANA;
VINO ROYAL HILL ROSE DE PINOT NOIR 0,75 L;966473;ROYAL HILL;0,750 L;KOM;8,52;11,36;;;8,52;3859893869204;PICE;
VINO ROYAL HILL ESTATE BLANC DE NOIR 0,75 L;966475;ROYAL HILL;0,750 L;KOM;9,02;12,03;;;9,02;3859893869013;PICE;
PIVO KROMBACHER PILS LIMENKA  0,5 L;966568;KROMBACHER;0,500 L;KOM;1,58;3,16;;;1,58;4008287944020;PICE;
BRASNO T-550   5 KG  PLODINE GLATKO;966702;RUSTINI;5 KG;KOM;3,58;0,72;;;3,58;3858886238676;HRANA;
GIN LONDON DRY HARPOON 37,5% 0,7 L;966749;HARPOON;0,700 L;KOM;6,99;9,99;;;6,99;3014400007658;PICE;
PIVO PAN ZLATNI 5% 6X 0,5 L LIMENKA;966754;PAN;3 L;KOM;7,47;2,49;;;7,47;3858887583454;PICE;
PIVO PAN LAGER 4,8% 6X 0,5 L LIMENKA;966755;PAN;3 L;KOM;7,47;2,49;;;7,47;3858887581993;PICE;
CIPS PREMIUM JAMON IBERICO 150 G EL VALLE;966895;EL VALLE;0,150 KG;KOM;2,25;15,00;;;2,25;8437001213429;HRANA;
CIPS PREMIUM QUESO CURADO 150 G EL VALLE;966896;EL VALLE;0,150 KG;KOM;2,25;15,00;;;2,25;8437001213412;HRANA;
