Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
GRASAK MLADI 400 G O'PLANT;618451;PODRAVKA SMRZNUTO;0,400 KG;KOM;1,19;2,98;;;1,69;3856020279004;HRANA;
GRASAK MRKVA 400 G O'PLANT;618452;PODRAVKA SMRZNUTO;0,400 KG;KOM;1,12;2,80;;;1,59;3856020279035;HRANA;
KRALJEVSKI MIX 400 G O'PLANT;618453;PODRAVKA SMRZNUTO;0,400 KG;KOM;1,59;3,98;;;1,89;3856020279097;HRANA;
SOMERSBY MALINA LIMETA 0,5 L LIMENKA;618460;SOMERSBY;0,500 L;KOM;;2,98;1,49;1,78;1,78;3858887585618;PICE;
EKSTRA DZEM SUMSKO VOCE 580 G PODRAVKA;618497;PODRAVKA KONZERVIRANO;0,580 KG;KOM;5,05;8,71;;;5,49;3856020280475;HRANA;
SOK POLA POLA MARAKUJA 0,5 L;618501;POLA POLA;0,500 L;KOM;1,85;3,70;;;1,85;9006900231200;PICE;
TAGLIATELLE RUST. 500 G KLARA MARIC;618505;KLARA M;0,500 KG;KOM;5,05;10,10;;;4,79;3859888499706;HRANA;
L'ANGELICA GEL 500 ML VANILIJA I KAKAO;618509;L'ANGELICA;0,500 L;KOM;3,19;6,38;;;3,19;8017331101490;KOZMETIKA;
PIVO OLD PRAGUE PSENICNO SVJETLO 5,2% 0,5 L;618510;OLD PRAGUE BOHEMIAN;0,500 L;KOM;1,22;2,44;;;1,22;8593085068239;PICE;
S.BUREK MOTANI SA SIROM 220 G;618511;PAN PEK - NETO NETO;0,220 KG;KOM;1,29;5,86;;;1,29;2000002012368;HRANA;
S.BUREK MOTANI S JUNETINOM 220 G;618518;PAN PEK - NETO NETO;0,220 KG;KOM;1,49;6,77;;;1,49;2000002012375;HRANA;
FESTIVAL MIX 400 G MARJAN VOCE;618525;MARJAN VOCE;0,400 KG;KOM;9,99;24,98;;;9,99;3858893921035;HRANA;
COCKTAIL MIX 400 G MARJAN VOCE;618526;MARJAN VOCE;0,400 KG;KOM;9,99;24,98;;;9,99;3858893921059;HRANA;
MADARICA S PISTACIJAMA 510 G;618527;;0,510 KG;KOM;7,09;13,90;;;6,99;3858889619489;HRANA;
KAKAO MUFFIN S NADJEVOM OD BIJELE COKOLADE 80 G;618528;;0,080 KG;KOM;1,19;14,88;;;1,19;5907131563273;HRANA;
GRAND DESSERT PISTACIJA 190 G EHRMANN;618537;EHRMANN;0,190 KG;KOM;,99;5,21;;;,99;4002971274301;HRANA;
KOMPOT MIJESANO VOCE 453 G SAINT MAMET;618545;SAINT MAMET;0,260 KG;KOM;3,49;13,42;;;3,49;3080920992156;HRANA;
KOMPOT OD BRESKVE 452 G SAINT MAMET;618546;SAINT MAMET;0,260 KG;KOM;3,49;13,42;;;3,49;3080920982591;HRANA;
KOMPOT VOCNI COCKTAIL 425 G SAINT MAMET;618548;SAINT MAMET;0,250 KG;KOM;2,99;11,96;;;2,99;3080920100360;HRANA;
KOMPOT VOCNI MIX OD BRESKVE, ANANASA I KIWIA 412 G;618550;SAINT MAMET;0,235 KG;KOM;3,29;14,00;;;3,29;3080920994341;HRANA;
FOCACCIA S MASLINAMA.400 G;618551;;0,400 KG;KOM;2,19;5,48;;;2,19;;HRANA;
KOMPOT BRESKVA PAVIA 425 G SAINT MAMER;618552;SAINT MAMET;0,245 KG;KOM;2,99;12,20;;;2,99;3080920100186;HRANA;
PHILADELPHIA LOSOS 175 G;618598;PHILADELPHIA;0,175 KG;KOM;;12,51;2,19;3,49;4,29;7622202301032;HRANA;
PROACTIV ORIGINAL 225 G;618602;PROACTIV;0,225 KG;KOM;4,39;19,51;;;4,39;8719200254244;HRANA;
NIVEA DEO 150 ML DERMA CONTROL SENSITIVE MEN;618610;NIVEA;0,150 L;KOM;4,99;33,27;;;5,25;9005800389943;KOZMETIKA;
NIVEA ROLL-ON 50 ML DERMA CONTROL SENSITIVE MEN;618611;NIVEA;0,050 L;KOM;5,25;105,00;;;5,55;9005800390178;KOZMETIKA;
NIVEA GEL 500 ML DERMA CONTROL RESTORE;618612;NIVEA;0,500 L;KOM;5,99;11,98;;;6,25;9005800389967;KOZMETIKA;
SNACK OD SIRA SA ZACINIMA AZURNE OBALE 100 G ILE DE FRANCE;618629;ILE DE FRANCE;0,100 KG;KOM;3,49;34,90;;;3,49;3480341002692;HRANA;
CAJ NARANCA I LIMUN 30 G SELECTION;618645;SELECTION;0,030 KG;KOM;;39,67;1,19;,99;1,59;3856031203647;HRANA;
CAJ DJUMBIR I LIMUN 30 G SELECTION;618646;SELECTION;0,030 KG;KOM;;39,67;1,19;,99;1,59;3856031203661;HRANA;
CAJ MALINA I BOROVNICA 30 G SELECTION;618647;SELECTION;0,030 KG;KOM;;39,67;1,19;,99;1,59;3856031203685;HRANA;
CAJ BRESKVA I NARANCA 30 G SELECTION;618648;SELECTION;0,030 KG;KOM;;39,67;1,19;,99;1,59;3856031203708;HRANA;
CAJ JABUKA I CIMET 30 G SELECTION;618649;SELECTION;0,030 KG;KOM;;39,67;1,19;,99;1,59;3856031203722;HRANA;
RIZA BASMATI 500 G RISO GALLO;618659;GALLO;0,500 KG;KOM;3,59;7,18;;;3,59;8001420010848;HRANA;
RIZA CRNA 500 G RISO GALLO;618660;GALLO;0,500 KG;KOM;3,49;6,98;;;3,49;8001420002782;HRANA;
RIZA CRVENA 500 G RISO GALLO;618661;GALLO;0,500 KG;KOM;3,49;6,98;;;3,49;8001420005226;HRANA;
TUNA STEAK U BILJNOM ULJU 160 G EVA;618671;EVA BEZ PASTETA;0,100 KG;KOM;3,69;36,90;;;3,69;3856020278229;HRANA;
KOZJI TVRDI SIR 150 G CAPRA DOMESTICA;618689;CAPRA DOMESTICA;0,150 KG;KOM;4,49;29,93;;;4,49;3859893605598;HRANA;
KOZJI POLUTVRDI SIR 150 G CAPRA DOMESTICA;618690;CAPRA DOMESTICA;0,150 KG;KOM;4,29;28,60;;;4,29;3859893605611;HRANA;
KEFIR BALANS+ 1,5 KG XXL;618692;BALANS;1,000 KG;KOM;1,99;2,99;;;2,59;3870199003833;HRANA;
RIBANI EKSTRA TVRDI SIR 40 G VINDIJA;618693;VINDIJA-VINDIJA SIREVI;0,040 KG;KOM;1,49;37,25;;;1,49;3850108055610;HRANA;
ORAH KIFLICE 300 G;618697;;0,300 KG;KOM;3,69;12,30;;;3,69;3859888257085;HRANA;
HELL COFFEE DOUBLE ESPRESSO 250 ML;618725;HELL;0,250 L;KOM;1,59;6,36;;;1,42;5999860497646;HRANA;
PECIVO CRAFT S MASLINAMA 110 G BRIOS;618810;;0,110 KG;KOM;,59;5,36;;;,59;;HRANA;
DVOPEK DORATO CROSTINO 300 G DELVERDE;618835;DELVERDE;0,300 KG;KOM;3,49;11,63;;;3,49;8000270706833;HRANA;
SLADOLED MINI SLANA KARAMELA I TAMNA COKOLADA 6X55 ML NUII;618844;NUII;0,330 L;KOM;9,99;30,27;;;9,99;5900130030487;HRANA;
SLADOLED MINI MANGO I SLADOLED SLANI BADEM-MED 6X55 ML NUII;618845;NUII;0,330 L;KOM;9,99;30,27;;;9,99;5900130042589;HRANA;
KOMPOT KRUSKA WILLIAMS 425 G SAINT MAMET;618846;SAINT MAMET;0,235 KG;KOM;2,99;12,72;;;2,99;3080920100254;HRANA;
SLADOLED VANILIJA I PISTACIJA 800 ML BARATTOLINO;618850;BARATTOLINO;0,800 L;KOM;5,99;7,49;;;5,99;8005840096581;HRANA;
SLADOLED CROCCANTINO 800 ML BARATTOLINO;618851;BARATTOLINO;0,800 L;KOM;5,99;7,49;;;5,99;8005840096635;HRANA;
SLADOLED PISTACIJA 4X75 ML GRUVI;618852;GRUVI;0,300 L;KOM;5,99;19,97;;;5,99;8005840008928;HRANA;
SLADOLED KIKIRIKI 4X75 ML GRUVI;618856;GRUVI;0,300 L;KOM;5,99;19,97;;;5,99;8005840020784;HRANA;
KEKS PLAZMA 600 G BAMBI;618863;BAMBI;0,600 KG;KOM;5,99;9,98;;;5,99;8600043001280;HRANA;
BIJELA KUKURUZNA KRUPICA 500 G TENA;618872;BRASNO TENA;0,500 KG;KOM;1,49;2,98;;;1,49;3858887101801;HRANA;
KRUMPIROVO SENDVIC PECIVO 100 G;618876;MLINAR PEKARSTVO;0,100 KG;KOM;,59;5,90;;;,59;;HRANA;
PECIVO RUZICA POSIP SOL-PAPAR 105 G;618878;;0,105 KG;KOM;,79;7,52;;;,79;;HRANA;
GRILL PANIN 100 G;618884;;0,100 KG;KOM;,35;3,50;;;,35;;HRANA;
KEKS DUO COKOLADA 300 G BISCOLETTI;618888;BISCOLETTI;0,300 KG;KOM;1,65;5,50;;;1,65;3856031203791;HRANA;
KEKS DUO KOKOS 300 G BISCOLETTI;618889;BISCOLETTI;0,300 KG;KOM;1,65;5,50;;;1,65;3856031203814;HRANA;
KEKS DUO MLIJECNO PUNJENJE 300 G BISCOLETTI;618890;BISCOLETTI;0,300 KG;KOM;1,65;5,50;;;1,65;3856031203777;HRANA;
DIX TEK.DETERDZENT 3 L 60 PR.FIBER PROTECTION;618891;DIX;3 L;KOM;12,49;4,16;;;12,49;3856031203975;SREDSTVA ZA CISCENJE;
DIX TEK.DETERDZENT 3 L 60 PR.HYPOALLERGENIC;618892;DIX;3 L;KOM;12,49;4,16;;;12,49;3856031203999;SREDSTVA ZA CISCENJE;
DIX TEK.DETERDZENT 3 L 60 PR. WHITE   COLOR;618893;DIX;3 L;KOM;12,49;4,16;;;12,49;3856031204019;SREDSTVA ZA CISCENJE;
DIX TEK.DETERDZENT 3 L 60 PR.COLOR;618894;DIX;3 L;KOM;12,49;4,16;;;12,49;3856031203951;SREDSTVA ZA CISCENJE;
TRAPIST MADARSKI 700 G MLJEKAR;618895;MLJEKAR;0,700 KG;KOM;7,99;11,41;;;7,99;5999884966685;HRANA;
TORTA SCHWARZWALD 800 G;618910;;0,800 KG;KOM;10,99;13,74;;;10,99;3830056445381;HRANA;
SOK FRUVITA JABUKA VISNJA 0,8 L;618917;FRUVITA;0,800 L;KOM;2,19;2,74;;;2,19;8606030051870;PICE;
SOK FRUVITA JABUKA KRUSKA 0,8 L;618918;FRUVITA;0,800 L;KOM;2,19;2,74;;;2,19;8606030051863;PICE;
SOK FRUVITA JABUKA DJUMBIR 0,8 L;618919;FRUVITA;0,800 L;KOM;2,39;2,99;;;2,39;8606030051894;PICE;
SOK FRUVITA JABUKA MARELICA 0,8 L;618920;FRUVITA;0,800 L;KOM;2,19;2,74;;;2,19;8606030051856;PICE;
SOK FRUVITA JABUKA LIMETA 0,8 L;618921;FRUVITA;0,800 L;KOM;2,19;2,74;;;2,19;8606030051887;PICE;
PALMOLIVE DOYPACK COCONUT 500 ML;618931;PALMOLIVE;0,500 L;KOM;2,51;5,02;;;3,49;8718951710955;KOZMETIKA;
SIR MOZZARELLA JULIENNE 200 G DOLINE;618952;DOLINE;0,200 KG;KOM;1,99;9,95;;;2,69;3856031202978;HRANA;
SIR RIBANI 80 G DOLINE;618953;DOLINE;0,080 KG;KOM;1,49;18,63;;;1,49;3856031202954;HRANA;
ESENS HIDRATANTNA DNEVNA KREMA ZA LICE  50 ML;618954;ESENS;0,050 L;KOM;4,49;89,80;;;4,49;3856031203074;KOZMETIKA;
ESENS HIDRATANTNA NOCNA KREMA ZA LICE 50 ML;618957;ESENS;0,050 L;KOM;4,49;89,80;;;4,49;3856031203098;KOZMETIKA;
ESENS REGENERATIVNA DNEVNA KREMA ZA LICE 50 ML;618960;ESENS;0,050 L;KOM;4,49;89,80;;;4,49;3856031203036;KOZMETIKA;
ESENS REGENERATIVNA NOCNA KREMA ZA LICE 50 ML;618961;ESENS;0,050 L;KOM;4,49;89,80;;;4,49;3856031203050;KOZMETIKA;
ESENS Q10 DNEVNA KREMA ZA LICE 50 ML;618962;ESENS;0,050 L;KOM;4,49;89,80;;;4,49;3856031203111;KOZMETIKA;
ESENS Q10 NOCNA KREMA ZA LICE 50 ML;618963;ESENS;0,050 L;KOM;4,49;89,80;;;4,49;3856031203135;KOZMETIKA;
SIR MEKI KOCKICE CESNJAK/PERSIN 200 G APETINA;618964;APETINA;0,200 KG;KOM;4,59;22,95;;;4,59;5711953182617;HRANA;
SLADOLED ZANATSKI DUBAI COKOLADA 500 ML TORTERIE MACARON;618967;TORTERIE MACARON;0,500 L;KOM;;9,98;4,99;6,99;6,99;3859894320087;HRANA;
CRISPY POH CURRY 70 G KOTANYI;618974;KOTANYI ZACINI;0,070 KG;KOM;1,89;27,00;;;1,89;9001414238042;HRANA;
CRISPY POH CLASSIC 70 G KOTANYI;618977;KOTANYI ZACINI;0,070 KG;KOM;1,89;27,00;;;1,89;9001414338018;HRANA;
CRISPY POH SIR I ZACINSKO BILJE 70 G KOTANYI;618978;KOTANYI ZACINI;0,070 KG;KOM;1,89;27,00;;;1,89;9001414338032;HRANA;
DEMAE RAMEN PILETINA FAMILY 300 G NISSIN;618996;NISSIN;0,300 KG;KOM;2,29;7,63;;;3,29;5997523394011;HRANA;
SIRUP MIXI MARELICA 1 L;619009;MIXI;1 L;KOM;2,68;2,68;;;2,68;3859893686610;PICE;
VALJANI SIROKI REZANCI XXL 600 G ZLATO POLJE;619020;ZLATO POLJE;0,600 KG;KOM;2,89;4,82;;;2,89;3856020282158;HRANA;
REZANCI SA SPINATOM XXL 600 G ZLATO POLJE;619021;ZLATO POLJE;0,600 KG;KOM;2,89;4,82;;;2,89;3856020282189;HRANA;
KAVA INSTANT LEDENA 3U1 12,7 G JACOBS;619023;JACOBS;0,013 KG;KOM;,5;39,37;;;,5;8711000577998;HRANA;
SCHWARZWALD KOCKE 450 G;619036;;0,450 KG;KOM;4,29;9,53;;;4,29;3830056441291;HRANA;
DIX DETERDZENT UNIVERSAL 6,05 KG 110 PRANJA;619039;DIX;6 KG;KOM;14,99;2,50;;;14,99;3856025890617;SREDSTVA ZA CISCENJE;
DOVE 90 G SAPUN DRAGONFRUIT;619048;DOVE;0,090 KG;KOM;1,79;19,89;;;1,79;8720181717598;KOZMETIKA;
SIR OVCJI S TARTUFIMA 190 G LA LEYENDA;619052;SPANISH CHEESE SLU;0,190 KG;KOM;6,99;36,79;;;6,99;8436025983622;HRANA;
SIR OVCJI S MASLINAMA 190 G LA LEYENDA;619053;SPANISH CHEESE SLU;0,190 KG;KOM;6,99;36,79;;;6,99;8436025983677;HRANA;
SIR OVCJI S CVIJECEM 190 G LA LEYENDA;619054;SPANISH CHEESE SLU;0,190 KG;KOM;7,99;42,05;;;7,99;8436025983615;HRANA;
PERWOLL 3,750 L LIGHT COLORS 75 PR.;619072;PERWOLL;3,75 L;KOM;19,49;5,20;;;19,49;9000101827118;SREDSTVA ZA CISCENJE;
SUMSKO VOCE 300 G O'PLANT;619084;PODRAVKA SMRZNUTO;0,300 KG;KOM;3,29;10,97;;;3,29;3856020279387;HRANA;
VISNJA 300 G O'PLANT;619085;PODRAVKA SMRZNUTO;0,300 KG;KOM;2,89;9,63;;;2,89;3856020279417;HRANA;
OKRUGLICE OD KRUHA 1 KG ZLATNO POLJE;619086;PODRAVKA SMRZNUTO;1 KG;KOM;6,99;6,99;;;6,99;3838700369175;HRANA;
VALJUSCI OD KRUMPIRA 1 KG ZLATNO POLJE;619087;PODRAVKA SMRZNUTO;1 KG;KOM;4,99;4,99;;;4,99;3838700369281;HRANA;
STRUKLI DOMACI SA SIROM 1 KG ZLATNO POLJE;619088;PODRAVKA SMRZNUTO;1 KG;KOM;6,99;6,99;;;5,99;3838700369267;HRANA;
KVASAC SVJEZI 42 G;619089;DR.OETKER;0,042 KG;KOM;,49;11,67;;;,49;4003834000112;HRANA;
CAMPO ZELENE MASLINE S KOSTICOM 950 G;619091;CAMPO;0,630 KG;KOM;;6,43;4,05;5,79;5,79;3856031207706;HRANA;
CAMPO ZELENE MASLINE S KOSTICOM 530 G;619092;CAMPO;0,310 KG;KOM;;7,42;2,3;3,29;3,29;3856031207683;HRANA;
JOGURT TEKUCI 1,1% JAGODA 1 KG PET DOLINE;619116;DOLINE;1 KG;KOM;1,99;1,99;;;1,99;3856031203586;HRANA;
JOGURT TEKUCI 1,1% SUMSKO VOCE 1 KG PET DOLINE;619117;DOLINE;1 KG;KOM;1,99;1,99;;;1,99;3856031203753;HRANA;
MOUSSE NOUGAT STAY STRONG 165 G;619138;DUKAT - STAY STRONG;0,165 KG;KOM;1,59;9,64;;;1,59;3850354019206;HRANA;
PROTEIN KOLAGEN PROTEIN DRINK JAGODA 0,5 L STAY STRONG;619139;DUKAT - STAY STRONG;0,500 L;KOM;1,85;3,70;;;2,49;3850354019275;HRANA;
CONSERVE DELLA NONNA PESTO ARRABBIATA 190 G;619178;CONSERVE DELLA NONNA;0,190 KG;KOM;;10,47;1,99;2,49;2,49;8005360001560;HRANA;
CONSERVE DELLA NONNA RAGOUT BOLOGNESE 190 G;619179;CONSERVE DELLA NONNA;0,190 KG;KOM;;10,47;1,99;2,99;2,99;8005360002055;HRANA;
CONSERVE DELLA NONNA SAUSAGE RAGOUT 190 G;619180;CONSERVE DELLA NONNA;0,190 KG;KOM;;10,47;1,99;2,99;2,99;8005360002086;HRANA;
KAVA ESPRESSO MOKA VAKUMIRANA 250 G FRANCK;619198;FRANCK ESPRESSO;0,250 KG;KOM;7,79;31,16;;;7,79;3850291055626;HRANA;
ZAMJENA ZA SIR CLASSIC 200 G SAYVE;619233;SAYVE;0,200 KG;KOM;5,99;29,95;;;5,99;3830077810007;HRANA;
ZAMJENA ZA SIR S CRNIM PAPROM 200 G SAYVE;619234;SAYVE;0,200 KG;KOM;5,99;29,95;;;5,99;3830077810045;HRANA;
VEGETARIJANSKI NAREZAK 100 G WELL WELL;619242;WELL WELL;0,100 KG;KOM;1,99;19,90;;;1,99;8594191743225;HRANA;
VEGETERIJANSKI POLUSUSENI NAREZAK 90 G WELL WELL;619243;WELL WELL;0,090 KG;KOM;2,39;26,56;;;2,39;8594191743041;HRANA;
HOT DOG CLASSIC 200 G;619244;WELL WELL;0,200 KG;KOM;3,39;16,95;;;3,39;8594191740163;HRANA;
NAPOLITANKE GOLD CR.CHOC. DUET JAFFA 215 G;619247;JAFFA CRVENKA;0,215 KG;KOM;1,99;9,26;;;1,99;8600114011552;HRANA;
TOFU NATURAL 200 G WELL WELL;619281;WELL WELL;0,200 KG;KOM;1,99;9,95;;;1,99;8594191742877;HRANA;
ZAMJENA ZA SIRNI NAMAZ 150 G MOZZARISELLA;619288;MOZZARISELLA;0,150 KG;KOM;4,39;29,27;;;4,39;8032754342077;HRANA;
ADVENTSKI KALENDAR 50 G MILLANO;619291;MILLANO;0,050 KG;KOM;;5,80;,29;,49;1,49;5903228102790;HRANA;
PEDIGRE BISCROK 500 G + RODEO DUO GRATIS;619301;MARS PETCARE;0,500 KG;KOM;3,99;7,98;;;3,99;3856027802434;HRANA;
MUESLI CRUNCHY ORASASTI XL 1 KG DOBRI;619323;DOBRI;1 KG;KOM;4,99;4,99;;;6,99;8595054909222;HRANA;
NICE DAY SAMPON 1 L KAMILICA;619325;NICE DAY;1 L;KOM;1,49;1,49;;;1,49;8600101578426;KOZMETIKA;
NICE DAY SAMPON 1 L KOPRIVA;619326;NICE DAY;1 L;KOM;1,49;1,49;;;1,49;8600101578396;KOZMETIKA;
UMAK CHEESE CREAM 250 ML THOMY;619341;NESTLE MAJONEZE;0,250 L;KOM;2,59;10,36;;;2,59;40057842;HRANA;
UMAK BECHAMEL 250 ML THOMY;619342;NESTLE MAJONEZE;0,250 L;KOM;2,59;10,36;;;2,59;40056296;HRANA;
UMAK HOLLANDAISE 250 ML THOMY;619343;NESTLE MAJONEZE;0,250 L;KOM;2,59;10,36;;;2,59;40056265;HRANA;
MIZON MASKA ZA LICE VITAMIN 23G;619347;MIZON;0,023 KG;KOM;1,99;86,52;;;1,99;8809663752354;KOZMETIKA;
MIZON MASKA ZA LICE SIPAK 23G;619352;MIZON;0,023 KG;KOM;1,99;86,52;;;1,99;8809663752347;KOZMETIKA;
BEAUSTA KREMA PROTIV BUBULJICA 15 ML;619366;BEAUSTA;0,015 L;KOM;3,99;266,00;;;3,99;8809577461175;KOZMETIKA;
BEAUSTA PUZEVA KREMA ZA LICE 15 ML;619373;BEAUSTA;0,015 L;KOM;3,99;266,00;;;3,99;8809577460802;KOZMETIKA;
CROISSANT MINI COK. 200 G BISCOLETTI;619381;BISCOLETTI;0,200 KG;KOM;1,99;9,95;;;1,99;3856031208086;HRANA;
CROISSANT MINI MARELICA 200 G BISCOLETTI;619383;BISCOLETTI;0,200 KG;KOM;1,99;9,95;;;1,99;3856031208062;HRANA;
MARENDINI MONKEYS VANILIJA 120 G NEXT;619385;NEXT;0,120 KG;KOM;1,65;13,75;;;1,65;3856031208680;HRANA;
MARENDINI MONKEYS KAKAO 120 G NEXT;619386;NEXT;0,120 KG;KOM;1,65;13,75;;;1,65;3856031208666;HRANA;
DIX UNIVERZALNE VLAZNE MARAMICE 3X80 KOM;619405;DIX;240 KOM;KOM;4,29;0,02;;;4,29;3856031200745;SREDSTVA ZA CISCENJE;
ABECEDA JUHA 4X44G XXL MAGGI;619407;NESTLE MAGGI;0,176 KG;KOM;3,99;22,67;;;3,99;8445291518384;HRANA;
PILECA JUHA REZANCI 4X50 G XXL MAGGI;619410;NESTLE MAGGI;0,200 KG;KOM;3,99;19,95;;;3,99;8445291517585;HRANA;
NJAMI PILECI MIX CURRY 160 G DELAMARIS;619416;DELAMARIS KONZERVIRANO;0,160 KG;KOM;3,99;24,94;;;3,99;3838929620064;HRANA;
S.SAVIJACA S BRUSNICAMA 80 G;619471;;0,080 KG;KOM;1,09;13,63;;;1,09;3858895513429;HRANA;
S.PIZZA S PURECOM SUNKOM 145 G;619472;;0,145 KG;KOM;1,69;11,66;;;1,69;3858893421283;HRANA;
NAPOLITANKE COK. 180 G LASTA;619512;LASTA;0,180 KG;KOM;1,29;7,17;;;1,29;3870128037847;HRANA;
NIVEA DNEVNA KREMA 50 ML SPF 30 VITAMIN E;619530;NIVEA;0,050 L;KOM;8,99;179,80;;;9,2;9005800389684;KOZMETIKA;
NIVEA DNEVNA KREMA 50 ML SPF 30 BADEMOVO ULJE;619531;NIVEA;0,050 L;KOM;8,99;179,80;;;8,99;9005800389691;KOZMETIKA;
SELECTION KAPARI S PETELJKOM U VINSKOM OCTU 190 G;619546;SELECTION;0,090 KG;KOM;;25,44;2,29;2,75;2,75;3856031207645;HRANA;
CAMPO KAPARI U VINSKOM OCTU 105 G;619547;CAMPO;0,550 KG;KOM;2,29;4,16;;;2,29;3856031207669;HRANA;
SLADOLED MINI STAPIC PISTACIJA 4 X 81,5 ML VALSOIA;619548;VALSOIA;0,326 L;KOM;5,99;18,37;;;5,99;8006040141354;HRANA;
SLADOLED MINI STAPIC SLANA KARAMELA 3 X 130 ML VALSOIA;619549;VALSOIA;0,390 L;KOM;5,99;15,36;;;5,99;8006040141361;HRANA;
PUNJENE PILECE OKRUGLICE;619577;PLODINE GASTRO;0,080 KG;KOM;1,79;22,38;;;1,79;;HRANA;
KASICA SPAGETI JUNIOR 220 G BEBIVITA;619580;VIVERA OSTALO - BEBIVITA;0,220 KG;KOM;1,69;7,68;;;1,69;4018852035435;HRANA;
POUCH JABUKA/BANANA/BRESKVA 90 G BEBIVITA;619583;VIVERA OSTALO - BEBIVITA;0,090 KG;KOM;,99;11,00;;;,99;4018852035114;HRANA;
POUCH JABUKA/MANGO/BRESKVA 90 G BEBIVITA;619584;VIVERA OSTALO - BEBIVITA;0,090 KG;KOM;,99;11,00;;;,99;4018852035107;HRANA;
NAMAZ OD CRNIH MASLINA 180 G PZ MARINA;619649;PZ MARINA PAKIRANO;0,180 KG;KOM;3,79;21,06;;;3,79;3859888295834;HRANA;
NAMAZ OD ZELENIH MASLINA 180 G PZ MARINA;619650;PZ MARINA PAKIRANO;0,180 KG;KOM;3,79;21,06;;;3,79;3859888295773;HRANA;
KEKS BAIOCCHI PISTACIJA 240 G MULINO BIANCO;619655;MULINO BIANCO KEKSI;0,240 KG;KOM;4,19;17,46;;;4,19;8076809583039;HRANA;
POUCH JABUKA BRESKVA MANGO KEKS 120 G BEBIVITA;619676;VIVERA OSTALO - BEBIVITA;0,120 KG;KOM;1,09;9,08;;;1,09;4018852034834;HRANA;
MINI KRAFNA BRUSNICA 41 G;619694;;0,041 KG;KOM;,59;14,39;;;,59;5907131565239;HRANA;
CROISSANT PISTACIJA 225 G BISCOLETTI;619696;BISCOLETTI;0,220 KG;KOM;1,99;9,05;;;1,99;3856031207720;HRANA;
CROISSANT DUO 250 G BISCOLETTI;619697;BISCOLETTI;0,250 KG;KOM;1,99;7,96;;;1,99;3856031207744;HRANA;
MINI KRAFNICA KOKOS 38 G;619698;;0,038 KG;KOM;,59;15,53;;;,59;5907131565222;HRANA;
MINI KRAFNICA KAKAO 38 G;619699;;0,038 KG;KOM;,59;15,53;;;,59;5907131565215;HRANA;
PIVO MONARCH 4,5% 6X0,33 L;619702;GOUDALE;;KOM;4,99;;;;4,99;3856031209052;PICE;
SUNCOKRETOVO ULJE 1 L OHO;619703;OHO!;1 L;KOM;1,49;1,49;;;1,49;3856031210386;HRANA;
LEDENI CAJ JANA BRESKVA ZERO 0,5 L;619711;JANA LEDENI CAJ;0,500 L;KOM;1,19;2,38;;;1,19;3856028506294;PICE;
LEDENI CAJ JANA BRESKVA ZERO 1,5 L;619712;JANA LEDENI CAJ;1,5 L;KOM;1,69;1,13;;;1,69;3856028506324;PICE;
SIR EDAMER 2,5 KG;619725;KOLIBA;1 KG;KG;8,99;8,99;;;8,99;;HRANA;
SIR EDAMER DIMLJENI 2,5 KG;619733;KOLIBA;1 KG;KG;8,99;8,99;;;8,99;;HRANA;
PIVO SARAJEVSKO PREMIUM 4,9% 0,5 L LIM;619758;SARAJEVSKO PIVO;0,500 L;KOM;1,39;2,78;;;1,39;3870028002297;PICE;
KAVA KAPSULE NS INTENSO 51 G SEGAFREDO;619792;SEGAFREDO;0,051 KG;KOM;4,49;88,04;;;4,49;8003410249313;HRANA;
KAVA KAPSULE NS RISTRETTO 51 G SEGAFREDO;619793;SEGAFREDO;0,051 KG;KOM;4,49;88,04;;;4,49;8003410249320;HRANA;
SIR PARMIGIANO REGGIANO 12 MJ 150 G GRANAROLO;619794;GRANAROLO;0,150 KG;KOM;4,99;33,27;;;4,99;8002670050370;HRANA;
S.KRAFNA MARELICA 3/1 144 G;619841;DON DON PEKARSTVO;0,144 KG;KOM;1,99;13,82;;;1,99;3830085171589;HRANA;
S.KRAFNA KAKAO-VANILIJA 3/1 165 G;619842;DON DON PEKARSTVO;0,165 KG;KOM;2,19;13,27;;;2,19;3830085171602;HRANA;
KRUH INTEGRALNI SA SJEMENKAMA 400 G;619847;DON DON PEKARSTVO;0,400 KG;KOM;1,69;4,23;;;1,69;;HRANA;
KAVA ZRNO INTERMEZZO 1000 G SEGAFREDO;619867;SEGAFREDO;1 KG;KOM;24,99;24,99;;;19,99;8003410311171;HRANA;
VALOVITI REZANCI XXL 625 G MARODI;619886;MARODI;0,625 KG;KOM;3,49;5,58;;;3,49;3859893944970;HRANA;
EUFORIJA CHOCO MIX 150 G Z BREGOV;619899;VINDIJA-Z'BREGOV;150 KG;KOM;,95;0,01;;;,95;3850108037722;HRANA;
TUNA SALATA MEXICANA 3X160 G EVA;619908;EVA BEZ PASTETA;0,480 KG;KOM;11,99;24,98;;;11,99;3856020281588;HRANA;
VODA MG MIVELA GAZIRANA 0,5 L;619913;MIVELA;0,500 L;KOM;1,29;2,58;;;1,29;8600599002816;PICE;
